"","x"
"94","aflp"
"95","agamous gene"
"96","ago gene"
"97","agreliant genetics"
"98","agrobacterium"
"99","agrobacterium strains"
"100","agrobacterium tumefaciens"
"101","agrobacterium mediated"
"102","agrobacterium mediated dna uptake"
"103","agrobacterium mediated transformation"
"104","agrobiodiversity"
"105","agroecological mapping"
"106","agronomic"
"107","agronomic evaluation"
"108","agronomic management in trials"
"109","agronomic performance"
"110","agronomic stability concept"
"111","akaike information criterion  aic"
"112","alcohol dehydrogenase  adh"
"113","alcohol dehydrogenase  adh  isoenzyme"
"114","aldehyde dehydrogenase  aldh  gene"
"115","aldehyde dehydrogenasne"
"116","aleurone color factor interactions"
"117","alien gene transfer"
"118","alien introgression xiv"
"119","alignment algorithms"
"120","alignment matrix"
"121","allele"
"122","allele dispersion"
"123","allele diversity at orthologous candidate"
"124","allele frequencies"
"125","allele frequency"
"126","allele frequency changes under"
"127","allele haplotypes"
"128","allele mining"
"129","allele network"
"130","allele non random association"
"131","allele number"
"132","allele probabilities"
"133","allele recoding"
"134","alleles enrichment"
"135","allele specific activation"
"136","allele specific hybridization  ash"
"137","allele trait association"
"138","allelic"
"139","allelic association"
"140","allelic classes"
"141","allelic combinations"
"142","allelic independence"
"143","allelic peeling"
"144","allelic relationships"
"145","allelic substitution"
"146","allelic variation"
"147","allelic variation studies"
"148","allelism"
"149","allelism test"
"150","allelopathy"
"151","allopolyploids"
"152","allo polyploidy"
"153","along lins"
"154","alternaria"
"155","alternative splicing machinery"
"156","alternative transposition"
"157","aluminium tolerancnes"
"158","aluminium toxicity"
"159","ammi"
"160","ammi model"
"161","ammi value assessment"
"162","amplified fragment lh polymorphism  aflp"
"163","amylase loci"
"164","amylose content"
"165","ancestral haplotypes"
"166","anchor markers"
"167","aneuploid"
"168","animal breeding"
"169","anther culture"
"170","anthesis silking interval  asi"
"171","anthocyanin"
"172","anthocyanin biosynthetic pathway"
"173","anthracnosis"
"174","antibiotic resistancnes"
"175","antisense transcripts"
"176","aphids"
"177","apical dominance"
"178","apical meristems"
"179","apomixis"
"180","approximate bayesian computation  abc"
"181","apsim"
"182","arabidopsis"
"183","arabidopsis thaliana"
"184","artificial chromosome"
"185","artificial chromosome doubling"
"186","artificial environments"
"187","artificial neural network  ann"
"188","artificial nitrogen fertilizer"
"189","ascochyta blights"
"190","asexual"
"191","asreml"
"192","association genetics"
"193","association mapping"
"194","association mapping with multiple markers"
"195","association studies"
"196","atrazine"
"197","augmented complete block design  cbd"
"198","augmented designs"
"199","augmented experimental designs"
"200","augmented incomplete complete block designs"
"201","augmented resolvable row 96 column designs"
"202","augmented row column designs"
"203","augmented split block designs"
"204","augmented split plot designs"
"205","autogamous plant"
"206","autogamy"
"207","auto polyploidy"
"208","auxiliary plasmids"
"209","average environment"
"210","average environment coordination  aec"
"211","b centromere"
"212","b chromosome"
"213","bac clones"
"214","bac library"
"215","bacillus thuringiensis  bt"
"216","backcross"
"217","backcross breeding"
"218","back cross breeding"
"219","backcross inbred line  bil"
"220","back cross inbred lines"
"221","back cross strategy"
"222","backcrosses"
"223","back crossing"
"224","backcrossing"
"225","bacterial artificial chromosome  bac"
"226","bacterial blight"
"227","bacterial wilt"
"228","balancing selection"
"229","bar gene"
"230","barley"
"231","bayes factor"
"232","bayes rule"
"233","beagle"
"234","bean golden yellow mosaic virus  bgymv"
"235","beet necrotic yellow vein virus"
"236","beet western yellows virus"
"237","bemisia sp"
"238","benjamini hochbmethod"
"239","bernoulli lognormal mixture"
"240","best linear unbiased"
"241","best linear unbiased prediction"
"242","best linear unbiased prediction  blup"
"243","best subset selection"
"244","beta vulgaris"
"245","beta globin data"
"246","beta glucan"
"247","biadditive factorial regression models"
"248","bialaphos"
"249","bias variance decomposition"
"250","bias variance tradeoff"
"251","bic"
"252","bic criterion"
"253","bimodal distribution"
"254","binary plasmids"
"255","binary transformation vectors"
"256","binary vectors"
"257","binomial distribution"
"258","binomial test"
"259","biodiversity"
"260","biometrical"
"261","biometry"
"262","biotic resistance"
"263","biotic stress resistance"
"264","biotic stresses"
"265","biparental"
"266","biparental progenies"
"267","biplot"
"268","bipolaris maydis"
"269","black leg"
"270","black mexican sweet  bms  corn"
"271","black rot"
"272","black sigatoka leaf spot"
"273","blue"
"274","blup"
"275","bolting"
"276","bolting resistance"
"277","bonferroni correction"
"278","bonferroni method"
"279","bonferroni procedure"
"280","botanical seed"
"281","botrytis cinerea"
"282","bottleneck"
"283","bottleneck effect"
"284","box 96 cox transformation"
"285","bracket markers"
"286","branch lhs"
"287","brassica"
"288","brassica napus"
"289","brassica spp"
"290","breakage fusion bridge  bfb  cycle"
"291","breeder 92 s exemption"
"292","breeders selection"
"293","breeders 92  equation"
"294","breeders  exemption"
"295","breeders  rights"
"296","breeding"
"297","breeding achivements"
"298","breeding approach"
"299","breeding efforts"
"300","breeding informatics"
"301","breeding information management"
"302","breeding lines"
"303","breeding material"
"304","breeding method strategy"
"305","breeding methodology"
"306","breeding methods"
"307","breeding objectives"
"308","breeding pools"
"309","breeding population management"
"310","breeding product prediction"
"311","breeding programme"
"312","breeding programmes"
"313","breeding strategies"
"314","breeding strategy"
"315","breeding system"
"316","breeding types"
"317","breeding values"
"318","breeding programme cycle"
"319","bridge crosses"
"320","brittle stalk  bk  mutant"
"321","brittleness"
"322","broad adaptation"
"323","broad based pools"
"324","broadening genetic variability"
"325","broad sense heritability"
"326","bronzne"
"327","brown midrib mutant"
"328","brown plant hoppers"
"329","brown vascular tissue"
"330","brownian motion diffusion"
"331","brown midrib  bm  mutations"
"332","brown midrib mutations"
"333","bruchids"
"334","b spline"
"335","bt gene"
"336","buffell grass"
"337","buffering mechanisms"
"338","bulked segregant analysis  bsa"
"339","bulmer effect"
"340","bumping"
"341","cabbage blossom beetle"
"342","cabbagll midge"
"343","cacta transposon"
"344","cad gene"
"345","candidatnes"
"346","canopy spectral reflectance"
"347","canopy temperature"
"348","canopy temperature correlation with transpiration status"
"349","carbohydrate"
"350","carbohydrate storage"
"351","carbohydrates"
"352","carbon fixation"
"353","carbon isotope composition"
"354","carbon isotope discrimination"
"355","carbon partitioning"
"356","cart algorithm"
"357","cascading pedigree based scheme"
"358","causal variants"
"359","cdna arrays"
"360","cdna clone sequencing"
"361","cdna libraries"
"362","cdna library"
"363","cdna library clones"
"364","cdna library development"
"365","cdna sequencing"
"366","cell based tilling"
"367","cell biology"
"368","cell membrane stability"
"369","cell selection"
"370","cell totipotency"
"371","cell wall biosynthetic genes"
"372","cell wall digestibility"
"373","cell wall invertase  incw  activity"
"374","cell wall invertase  incw  activity decrease in drought"
"375","cell wall invertase  incw  activity in cereals"
"376","cell surface proteome"
"377","cellular"
"378","cellular genes transduction"
"379","cellulose"
"380","cellulose microfibril"
"381","cellulose synthasnes"
"382","central limit theorem"
"383","centric fusion"
"384","centric knob"
"385","centromeres"
"386","centromeric chromatin"
"387","centromeric retroelements  cr  element"
"388","centrosome"
"389","chaperones"
"390","chapman kolmogorov theorem"
"391","character state matrix"
"392","characterisation"
"393","characterization under stress"
"394","characters correlated with fitness"
"395","chemical desiccation to simulate stress"
"396","chester leaming variety"
"397","chester won corn"
"398","chiasma"
"399","chiasmatypy"
"400","chip technology"
"401","chip 96 chip"
"402","chi square"
"403","chi square approximation"
"404","chi square distribution"
"405","chi square model"
"406","chi square statistic"
"407","chloroamphenicol acetyltransferase"
"408","chloroamphenicol acetyltransferase  cat"
"409","chlorophyll concentration"
"410","chlorophyll concentration measurement"
"411","chlorophyll content"
"412","chlorophyll fluorescence"
"413","chloroplast"
"414","chloroplast diversity"
"415","chloroplast dna"
"416","chloroplast inheritance"
"417","chromatid interference"
"418","chromatin"
"419","chromatin content changes"
"420","chromatin immunoprecitations  chip"
"421","chromatin segment"
"422","chromatin structure"
"423","chromatin structure role"
"424","chromatographic assays"
"425","chromomeres"
"426","chromosomal position"
"427","chromosomal rearrangements"
"428","chromosomal structural changes"
"429","chromosomal structures"
"430","chromosomal theory"
"431","chromosome architecture"
"432","chromosome assignment"
"433","chromosome breakage"
"434","chromosome doubling"
"435","chromosome expansion"
"436","chromosome maps"
"437","chromosome mutations"
"438","chromosome number"
"439","chromosome numbers"
"440","chromosome pairing"
"441","chromosome rearrangement"
"442","chromosome sorting"
"443","chromosome structure"
"444","chromosome substitution"
"445","chromosome theory"
"446","chromosome tools"
"447","chromosome walking"
"448","chromosome walking technique"
"449","chromosomnome elimination"
"450","chromosomes"
"451","cimmyt"
"452","cis acting eqtl"
"453","cis regulatory modules  crms"
"454","cis acting elements"
"455","cis acting modifier"
"456","cis acting regulatory factors"
"457","cis regulatory variation"
"458","cis 96 trans configuration"
"459","citrate in osmotic adjustment"
"460","clade models"
"461","cladogram"
"462","clarage"
"463","class ii transposons"
"464","class discovery analyses"
"465","classification methods"
"466","classification trees"
"467","clonal crops"
"468","clonal propagation"
"469","clonal reproduction"
"470","clonally propagated species"
"471","closest markers"
"472","clustalw"
"473","cluster algorithms"
"474","cluster analysis"
"475","cluster search strategies"
"476","clustering"
"477","clustering analysis"
"478","coalescence time"
"479","coalescent"
"480","coalescent intensity function"
"481","coalescent likelihood"
"482","coalescent modelling"
"483","coalescent process"
"484","coalescent proposal"
"485","coalescent theory"
"486","coalescing"
"487","coancestry"
"488","co ancestry analyses"
"489","coancestry coefficient"
"490","coding sequences"
"491","co dominant marker"
"492","codon frequencies"
"493","codon substitution"
"494","codon usage bias"
"495","codon based models"
"496","codons"
"497","co expressed genes"
"498","cofactors"
"499","colchicine"
"500","cold spots"
"501","cold tolerance"
"502","cold tolerance traits"
"503","colletotrichum lindemuthianum"
"504","collinearity"
"505","combining ability"
"506","combining models"
"507","comparative genome hybridisation  cgh"
"508","comparativnomic analysis"
"509","comparativnomics"
"510","comparative informatics"
"511","comparative map"
"512","comparing breeding methods"
"513","comparison in different environments"
"514","complementation tests"
"515","composite interval mapping  cim"
"516","compound symmetry model"
"517","conditional likelihood"
"518","conditional probability"
"519","conditional qtl mapping"
"520","conditioned reconstruction"
"521","conductance measurement"
"522","confidence intervals"
"523","confidence region"
"524","confounding risk ratio"
"525","confusion matrix"
"526","congenic lines"
"527","congruity backcrosses"
"528","congruity backcrossing"
"529","consensus map"
"530","constitutive transgene"
"531","conventional plant breeding"
"532","corn belt dents"
"533","corn borer"
"534","corn breeding"
"535","corn improvement conference"
"536","corn stunt"
"537","corn yields"
"538","correlated response to selection"
"539","correlated traits"
"540","co segregation"
"541","co transformation"
"542","co transformation via particle"
"543","co transformation via plasmids"
"544","cotton"
"545","counterparts"
"546","counting methods"
"547","countries"
"548","covalently bound antibodies"
"549","covariance"
"550","covariance component estimation"
"551","crop canopy temperature"
"552","crop cultivars"
"553","crop cycle"
"554","crop cycle lh"
"555","crop cytoplasmic"
"556","crop data collection"
"557","crop development"
"558","crop diversity"
"559","crop evolution"
"560","crop gaphic movements"
"561","crop gaphy assessment"
"562","crop improvement"
"563","crop models"
"564","crop monitoring"
"565","crop ontology"
"566","crop plant domestication"
"567","crop plants"
"568","crop reconstruction approaches"
"569","crop simulation"
"570","crop simulation models"
"571","crop simulation to classify environments"
"572","crop species cultivation"
"573","crop vulnerability"
"574","crop water"
"575","cropping"
"576","crop simulation model"
"577","crop specific issues"
"578","cross between two populations"
"579","crossability"
"580","crossability barriers"
"581","crossability transgenes"
"582","crossability barrier limited"
"583","cross fertilization"
"584","cross hybridization"
"585","crossing"
"586","crossing method"
"587","crossing over"
"588","crossing over frequencies"
"589","crossover"
"590","crossover interactions"
"591","crossover interference"
"592","cross pollinated species"
"593","cross pollination"
"594","cross validation procedure"
"595","crown gall tumors"
"596","cry genes"
"597","cryopreservation"
"598","cryphonectria parasitica"
"599","cryptic relatedness"
"600","culling"
"601","cultivar"
"602","cultivar development"
"603","cultivar evaluation system"
"604","cultivar identification"
"605","cultivar mean"
"606","cultivars"
"607","cultivars stability"
"608","cultivated area"
"609","cultivated species"
"610","cumulative selection differential"
"611","cyanhydric acid"
"612","cyanogenic glucosides"
"613","cybrid production"
"614","cycle lh"
"615","cyclic process"
"616","cyst nematode"
"617","cytogenetic maps"
"618","cytogenetics"
"619","cytokinin analysis"
"620","cytokinins"
"621","cytoplasm"
"622","cytoplasm diversity"
"623","cytoplasmic"
"624","cytoplasmic donor"
"625","cytoplasmic genic male sterility  cms"
"626","cytoplasmic male sterile  cms"
"627","cytoplasmic male sterility"
"628","cytoplasmic male sterility  cms"
"629","cytoplasmic male sterility reversions"
"630","cytoplasmic male sterile  cms  cytoplasm"
"631","dark leaf spot"
"632","dart markers"
"633","daylh"
"634","days to flowering"
"635","de novo genetic variation"
"636","dealing with gei"
"637","decay plots"
"638","decision support tools"
"639","decision trees"
"640","deep rooting"
"641","deep rooting capacity"
"642","deeper rooting"
"643","deep rooting trait"
"644","defencne networks"
"645","dehydration tolerance"
"646","dehydration responsive element"
"647","dekalb"
"648","dekalb hybrids"
"649","delayed leaf senescence  dls"
"650","deletion mutagenesis"
"651","demographically robust selection genes"
"652","dent composite"
"653","dents"
"654","dephosphorylation"
"655","desiccation tolerance"
"656","design"
"657","design i"
"658","design ii"
"659","design iii"
"660","deterministic haplotyping"
"661","dh"
"662","dh lines"
"663","dh lines evaluation"
"664","dh populations"
"665","dh production"
"666","diabrotica"
"667","diallel"
"668","diallel analysis"
"669","diallel crosses"
"670","diallel mating design"
"671","diallel mating scheme"
"672","diastatic power"
"673","diboa biosynthesis"
"674","dichotomous traits"
"675","differential expression measures"
"676","differential gene expression"
"677","differential genotypic responses"
"678","differential methylation hybridisation  dmh"
"679","differentially transcribed genes"
"680","digenic epistasis"
"681","dihaploid plants"
"682","dihaploids"
"683","diplodia zea"
"684","diploid breeding"
"685","diploid population"
"686","diploids"
"687","diploid triploid breeding"
"688","diplotene"
"689","direct selection"
"690","directed est screens"
"691","directed mapping"
"692","directed mutagenesis"
"693","directional selection"
"694","dirichlet distribution"
"695","dirichlet mixture prior"
"696","dirichlet parameters"
"697","dirichlet prior"
"698","dirichlet process mixtures  dpms"
"699","dirichlet multinomial distribution"
"700","discrete kernels"
"701","disease resistance"
"702","disease resistance breeding"
"703","disease resistance qtls"
"704","disruptive selection"
"705","dissimilarity coefficients"
"706","dissimilarity measure"
"707","distal heterochromatin"
"708","distance measures"
"709","distance methods"
"710","distribution on pedigree"
"711","divnce analysis"
"712","diversity array technology  dart"
"713","diversity assessment"
"714","diversity enhancement"
"715","diversity source"
"716","dna"
"717","dna amplification fingerprinting"
"718","dna blocks"
"719","dna chip"
"720","dna chips"
"721","dna content"
"722","dna digestion"
"723","dna elements"
"724","dna extraction"
"725","dna fingerprint data"
"726","dna fragments"
"727","dna insertions"
"728","dna lh"
"729","dna libraries"
"730","dna loss"
"731","dna markers"
"732","dna methylation"
"733","dna methylation and"
"734","dna microarrays"
"735","dna molecules"
"736","dna plasmids"
"737","dna probes"
"738","dna profiles"
"739","dna profiling"
"740","dna segment"
"741","dna sequence"
"742","dna sequences"
"743","dna sequencing"
"744","dna signatures"
"745","dna substitution"
"746","dna technology"
"747","dna testing"
"748","domesticated populations"
"749","domestication bottlenecks"
"750","dominance"
"751","dominance effect"
"752","dominance theory"
"753","dominant"
"754","dominant mutations"
"755","donor population"
"756","donor splice junctions"
"757","dosage dependent paramutation"
"758","double bridge elimination"
"759","double cross hybrid"
"760","double crosses"
"761","double crossover"
"762","double end sequencing strategy"
"763","double haploid  dh"
"764","double haploidy"
"765","double cross hybrids"
"766","double cut and join"
"767","doubled haploid lines"
"768","doubled haploid techniques"
"769","doubled haploids"
"770","doubled haploids  dh"
"771","doubled haploids  dhs"
"772","double stranded dna virus"
"773","dow chemical company  dow"
"774","downstream promoter element  dpe"
"775","downy mildew"
"776","dreb genes"
"777","drift"
"778","drip irrigation"
"779","drought"
"780","drought adaptation"
"781","drought avoidance"
"782","drought effects"
"783","drought effects on nitrogen fixation"
"784","drought episodes"
"785","drought escape"
"786","drought escape mechanism"
"787","drought escape strategy"
"788","drought improvement methodologies"
"789","drought phenotyping"
"790","drought resistance"
"791","drought resistance qtls"
"792","drought response"
"793","drought response resistance index  dri"
"794","drought selection"
"795","drought stress"
"796","drought stress management"
"797","drought susceptibility index  dsi"
"798","drought tolerance"
"799","drought tolerance and"
"800","drought tolerance evaluation scheme"
"801","drought tolerancne activation silencing"
"802","drought tolerance qtls"
"803","drought tolerance screening outcomes"
"804","drought tolerance sources"
"805","drought tolerance strategies"
"806","drought trials"
"807","drought adaptive traits"
"808","drought prone environments"
"809","drought resistant"
"810","drought responsive qtls"
"811","drought stress index"
"812","drought stress patterns in sorghum"
"813","drought stressed crops"
"814","dry matter content"
"815","ds element structures"
"816","ds formation"
"817","ds transposons"
"818","duplicated genes"
"819","duplicated regions"
"820","duplication"
"821","duplications"
"822","dupligate events"
"823","durum wheat"
"824","dus"
"825","dus testing"
"826","dwarf"
"827","dwarf gene"
"828","dwarf varieties"
"829","e n k"
"830","e nk  model"
"831","ear development"
"832","ear emnce"
"833","ear tissue"
"834","earliness"
"835","earliness genes"
"836","early breeding stage"
"837","early flowering"
"838","early generation yield testing"
"839","early growth traits"
"840","early maturation"
"841","early maturity"
"842","early stopping"
"843","early vigour"
"844","early vs late testing"
"845","ear to row"
"846","ear to row selection"
"847","ear to row selection procedure"
"848","ecotilling"
"849","ecotilling gel analysis"
"850","ecotype"
"851","ecovalence"
"852","ecovalence analysis"
"853","effective degree days"
"854","effective degrees"
"855","effective marker 96 trait association"
"856","effective population size"
"857","effective size"
"858","effective temperature sum"
"859","ngenes"
"860","eigenvalues"
"861","eigenvectors"
"862","elastic net"
"863","electrical capacitance measurement"
"864","electrical conductivity"
"865","electrolyte leakage under heat stress"
"866","elitrmplasm"
"867","elite inbred lines"
"868","elite line crosses"
"869","elite lines"
"870","elongation qtls"
"871","embryo culture"
"872","embryo rescue"
"873","embryo sac damage"
"874","embryogenesis"
"875","embryogenic callus"
"876","embryogenic frequency"
"877","embryology"
"878","empirical blup"
"879","empirical variance estimator"
"880","en spm transposons"
"881","endosperm"
"882","endosperm balance number"
"883","endosperm mutation breeding"
"884","endosperm starch content trait"
"885","neered minichromosomes"
"886","enhanced vegetation index  evi"
"887","environmental characterization"
"888","environmental factors"
"889","environmental genetic male sterility"
"890","epicuticular wax load"
"891","epigenetic"
"892","epigenetic effects"
"893","epigenetic memory"
"894","epigenetic regulation"
"895","epigenetic regulation factors"
"896","epigenetic silencing"
"897","epigenetic variation"
"898","epistasis"
"899","epistatic effect implication"
"900","epistatic effects"
"901","eqtl hotspot detection"
"902","eqtl mapping"
"903","equilibrium additivnetic variance"
"904","equilibrium phenotypic variance"
"905","erecta gene"
"906","t resistance"
"907","erysiphaminis"
"908","escape strategy"
"909","essentially derived cultivars"
"910","essentially derived varieties"
"911","euclidean distance"
"912","eukaryotic genes"
"913","eukaryotic pre mrna"
"914","european corn borer  ecd"
"915","european molecular biology laboratory"
"916","european soil database"
"917","evaporative demand"
"918","evapotranspiration"
"919","evapo transpiration"
"920","evapotranspiration  et"
"921","evapotranspiration from plantations"
"922","evapotranspiration requirement"
"923","evolution mechanisms"
"924","evolutionary algorithms  eas"
"925","evolutionary breeding"
"926","evolutionary response to selection"
"927","exhaustive search"
"928","exon prediction"
"929","exon shuffling"
"930","exotic germplasm"
"931","exotic adapted genepool"
"932","exotic adapted progenies"
"933","expectation bayesian method"
"934","expectation log likelihood"
"935","expectation maximization"
"936","expectation maximisation algorithm"
"937","expectation maximization algorithm"
"938","expected accuracy"
"939","expected change"
"940","expected gain"
"941","expected selection gain"
"942","experimental design"
"943","experimental designs"
"944","explicit environmental characterization"
"945","explicit genotypic information model"
"946","expressed sequence tag  est"
"947","expression levels"
"948","expression microarrays"
"949","expression profiles"
"950","expression profiling"
"951","expression qtl  eqtl"
"952","expression quantitative trait loci  eqtl"
"953","expression vectors"
"954","expression array analysis"
"955","extended haplotype homozygosity"
"956","eyespot"
"957","factor analytic"
"958","factor analytic model"
"959","factorial regression"
"960","factorial regression model"
"961","factorial regression models"
"962","false discovery rate  fdr"
"963","false positive"
"964","family selection"
"965","family structure"
"966","favourable allele combination"
"967","feature prediction"
"968","feature selection"
"969","features"
"970","feed grain"
"971","feed forward neural networks"
"972","feeding efficiency"
"973","feeding value traits"
"974","fermentable sugar"
"975","fertility restoration"
"976","fertility restoring gene"
"977","fertility restoring genes"
"978","field trend"
"979","field trend adjustments"
"980","field trials"
"981","fine mapping"
"982","fingerprinting"
"983","fitness"
"984","fitness function"
"985","fitness surfaces"
"986","fixed block effects"
"987","fixed effects"
"988","flint"
"989","flint composite"
"990","flints"
"991","flooding tolerance"
"992","floral transition"
"993","flow cytometry"
"994","flowering date"
"995","flowering time"
"996","fluorescence in situ hybridization  fish"
"997","fluorescent in situ hybridisation  fish"
"998","fluorescent in situ hybridization"
"999","fodder"
"1000","forage crop"
"1001","forage maize"
"1002","forage plants"
"1003","foreground selection"
"1004","foundation seed production"
"1005","founder effect"
"1006","fragile breakage"
"1007","freedom to operate"
"1008","frequency dependent selection"
"1009","from distantly related genomes"
"1010","from exotic genetic resources"
"1011","from spatial population genetics"
"1012","from two derived populations"
"1013","from wild species"
"1014","full interaction model"
"1015","full lh cdna"
"1016","full sib"
"1017","functional markers"
"1018","fungal diseases"
"1019","funk reid"
"1020","fusarium head blight  fhb"
"1021","fusarium oxysporum"
"1022","fusarium spp"
"1023","fusarium wilt"
"1024","gamete eliminator"
"1025","gamete formation"
"1026","gamete selection"
"1027","gametes"
"1028","gametic"
"1029","gametic incompatibility"
"1030","gametophytic self incompatibility system"
"1031","gardner eberhart model"
"1032","gatekeeper genes"
"1033","gateway based binary vectors"
"1034","gateway based vector"
"1035","gblup"
"1036","ge interactions"
"1037","gei interactions"
"1038","gem"
"1039","gene action"
"1040","gene action control"
"1041","gene alteration"
"1042","gene bank collections"
"1043","gene capture"
"1044","gene capturing scale"
"1045","gene characterization"
"1046","gene cloning"
"1047","gene clusters"
"1048","gene colinearity"
"1049","gene content"
"1050","gene content distance"
"1051","gene content methods"
"1052","gene conversion"
"1053","gene correlations"
"1054","gene databases"
"1055","gene dominance"
"1056","gene dosage effect"
"1057","gene dropping"
"1058","gene duplications"
"1059","gene enrichment"
"1060","gene expression"
"1061","gene expression analysis"
"1062","gene expression arrays"
"1063","gene expression association studies"
"1064","gene expression deregulation"
"1065","gene finding"
"1066","gene frequencies"
"1067","gene frequency"
"1068","genn"
"1069","gene identification"
"1070","gene identification programs"
"1071","gene identity"
"1072","gene inhibition mechanism"
"1073","gene introgression"
"1074","gene isolation"
"1075","gene level"
"1076","gene level dominance"
"1077","gene mapping"
"1078","gene maps"
"1079","gene markers"
"1080","gene mining"
"1081","gene mobility"
"1082","gene modelling"
"1083","gene molecular diversity"
"1084","gene nature"
"1085","gene network"
"1086","gene networks"
"1087","gene number"
"1088","gene ontology"
"1089","gene order"
"1090","gene pools"
"1091","gene prediction programs"
"1092","gene products code"
"1093","gene pyramiding"
"1094","gene pyramiding schemes"
"1095","gene regulation"
"1096","gene regulatory elements"
"1097","gene segregation"
"1098","gene sequence movement"
"1099","gene silencing"
"1100","gene substitution"
"1101","gene tagging"
"1102","gene tagging strategy"
"1103","gene transfer"
"1104","gene transformation"
"1105","gene transgression"
"1106","gene transmission probability"
"1107","gene trees"
"1108","gene variability"
"1109","gene wholeness"
"1110","genealogical models"
"1111","genealogies"
"1112","genealogy"
"1113","gene environment"
"1114","geneflow"
"1115","geneflow barriers"
"1116","genne interactions"
"1117","gene 96 gene 96 environment interaction"
"1118","gene network 96 environment structure"
"1119","general combining ability"
"1120","general combining ability  gca"
"1121","generalised linear mixed model  glmm"
"1122","generalised linear models  glms"
"1123","generation mean analyses"
"1124","generation mean analysis"
"1125","generation means"
"1126","genetic association analysis"
"1127","genetic association mapping"
"1128","genetic backgrounds"
"1129","genetic base"
"1130","genetic base broadening"
"1131","genetic base narrowing"
"1132","genetic basis"
"1133","genetic bottlenecks"
"1134","genetic control"
"1135","genetic correlations"
"1136","genetic covariables"
"1137","genetic covariance"
"1138","genetic covariance matrix"
"1139","genetic distances 96"
"1140","genetic diversity"
"1141","genetic diversity sources"
"1142","genetic drift"
"1143","genetic drifts shifts"
"1144","genetic erosion"
"1145","genetic evaluation"
"1146","genetic evidence"
"1147","genetic factors"
"1148","genetic fixation"
"1149","genetic functions"
"1150","genetic gain"
"1151","genetic gain estimates"
"1152","genetic identity"
"1153","genetic implications"
"1154","genetic linkage"
"1155","genetic linkage mapping"
"1156","genetic linkage maps"
"1157","genetic map"
"1158","genetic map construction"
"1159","genetic map distance"
"1160","genetic map integration"
"1161","genetic mapping"
"1162","genetic maps"
"1163","genetic markers"
"1164","genetic mechanisms"
"1165","genetic merit"
"1166","genetic merit in animal breeding"
"1167","genetic mixture modelling"
"1168","genetic networks"
"1169","genetic parameters"
"1170","genetic polymorphisms"
"1171","genetic predictors"
"1172","genetic principles"
"1173","genetic profiles"
"1174","genetic recombination"
"1175","genetic reductionism"
"1176","genetic regressions"
"1177","genetic relationships"
"1178","genetic resources"
"1179","genetic resources availability"
"1180","genetic revolution"
"1181","genetic risk factors"
"1182","genetic selection programs"
"1183","genetic similarity"
"1184","genetic stability"
"1185","genetic stocks"
"1186","genetic stratification"
"1187","genetic structure"
"1188","genetic subdivision"
"1189","genetic techniques"
"1190","genetic value"
"1191","genetic variability"
"1192","genetic variance"
"1193","genetic variances"
"1194","genetic variances with overdominance"
"1195","genetic variation"
"1196","genetic vulnerability"
"1197","genetically identical genotypes"
"1198","genic male sterility"
"1199","genome change"
