Starting concept;Predicate1;Sources1;Connecting concept;Semantic category;Semantic types;Found in gut?;Found in intestines?;Predicate2;Sources2;End concept;Path weight
bifidobacterium adolescentis;is part of;['http://www.ncbi.nlm.nih.gov/pubmed/21570698'];dna;Chemicals & Drugs;['Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];gut;intestines;is associated with;['http://www.ncbi.nlm.nih.gov/pubmed/19915667', 'http://www.ncbi.nlm.nih.gov/pubmed/21756796', 'http://www.ncbi.nlm.nih.gov/pubmed/22398043', 'http://www.ncbi.nlm.nih.gov/pubmed/16825908', 'http://www.ncbi.nlm.nih.gov/pubmed/12795467', 'http://www.ncbi.nlm.nih.gov/pubmed/15579093', 'http://www.ncbi.nlm.nih.gov/pubmed/10445854'];inflammatory bowel diseases;8.0
bifidobacterium adolescentis;is part of;['http://www.ncbi.nlm.nih.gov/pubmed/21570698'];dna;Chemicals & Drugs;['Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];gut;intestines;affects;['http://www.ncbi.nlm.nih.gov/pubmed/19915667', 'http://www.ncbi.nlm.nih.gov/pubmed/21756796', 'http://www.ncbi.nlm.nih.gov/pubmed/22398043', 'http://www.ncbi.nlm.nih.gov/pubmed/16825908', 'http://www.ncbi.nlm.nih.gov/pubmed/12795467', 'http://www.ncbi.nlm.nih.gov/pubmed/15579093', 'http://www.ncbi.nlm.nih.gov/pubmed/10445854', 'http://www.ncbi.nlm.nih.gov/pubmed/11106094'];inflammatory bowel diseases;8.0
bifidobacterium adolescentis;is part of;['http://www.ncbi.nlm.nih.gov/pubmed/21570698'];dna;Chemicals & Drugs;['Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];gut;intestines;predisposes;['http://www.ncbi.nlm.nih.gov/pubmed/19915667', 'http://www.ncbi.nlm.nih.gov/pubmed/21756796', 'http://www.ncbi.nlm.nih.gov/pubmed/22398043', 'http://www.ncbi.nlm.nih.gov/pubmed/16825908', 'http://www.ncbi.nlm.nih.gov/pubmed/12795467', 'http://www.ncbi.nlm.nih.gov/pubmed/15579093', 'http://www.ncbi.nlm.nih.gov/pubmed/10445854', 'http://www.ncbi.nlm.nih.gov/pubmed/11106094', 'http://www.ncbi.nlm.nih.gov/pubmed/25552511'];inflammatory bowel diseases;8.0
bacteroides uniformis;is location of;['http://www.ncbi.nlm.nih.gov/pubmed/2096397'];dna;Chemicals & Drugs;['Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];gut;intestines;is associated with;['http://www.ncbi.nlm.nih.gov/pubmed/19915667', 'http://www.ncbi.nlm.nih.gov/pubmed/21756796', 'http://www.ncbi.nlm.nih.gov/pubmed/22398043', 'http://www.ncbi.nlm.nih.gov/pubmed/16825908', 'http://www.ncbi.nlm.nih.gov/pubmed/12795467', 'http://www.ncbi.nlm.nih.gov/pubmed/15579093', 'http://www.ncbi.nlm.nih.gov/pubmed/10445854'];inflammatory bowel diseases;8.0
bacteroides uniformis;is location of;['http://www.ncbi.nlm.nih.gov/pubmed/2096397'];dna;Chemicals & Drugs;['Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];gut;intestines;affects;['http://www.ncbi.nlm.nih.gov/pubmed/19915667', 'http://www.ncbi.nlm.nih.gov/pubmed/21756796', 'http://www.ncbi.nlm.nih.gov/pubmed/22398043', 'http://www.ncbi.nlm.nih.gov/pubmed/16825908', 'http://www.ncbi.nlm.nih.gov/pubmed/12795467', 'http://www.ncbi.nlm.nih.gov/pubmed/15579093', 'http://www.ncbi.nlm.nih.gov/pubmed/10445854', 'http://www.ncbi.nlm.nih.gov/pubmed/11106094'];inflammatory bowel diseases;8.0
bacteroides uniformis;is location of;['http://www.ncbi.nlm.nih.gov/pubmed/2096397'];dna;Chemicals & Drugs;['Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];gut;intestines;predisposes;['http://www.ncbi.nlm.nih.gov/pubmed/19915667', 'http://www.ncbi.nlm.nih.gov/pubmed/21756796', 'http://www.ncbi.nlm.nih.gov/pubmed/22398043', 'http://www.ncbi.nlm.nih.gov/pubmed/16825908', 'http://www.ncbi.nlm.nih.gov/pubmed/12795467', 'http://www.ncbi.nlm.nih.gov/pubmed/15579093', 'http://www.ncbi.nlm.nih.gov/pubmed/10445854', 'http://www.ncbi.nlm.nih.gov/pubmed/11106094', 'http://www.ncbi.nlm.nih.gov/pubmed/25552511'];inflammatory bowel diseases;8.0
bacteroides caccae;is location of;['http://www.ncbi.nlm.nih.gov/pubmed/15214734'];glucose;Chemicals & Drugs;['Carbohydrate', 'Pharmacologic Substance', 'Biologically Active Substance'];gut;intestines;is associated with;['http://www.ncbi.nlm.nih.gov/pubmed/10565376', 'http://www.ncbi.nlm.nih.gov/pubmed/1316793'];inflammatory bowel diseases;3.0
bacteroides caccae;is location of;['http://www.ncbi.nlm.nih.gov/pubmed/15214734'];glucose;Chemicals & Drugs;['Carbohydrate', 'Pharmacologic Substance', 'Biologically Active Substance'];gut;intestines;treats;['http://www.ncbi.nlm.nih.gov/pubmed/10565376', 'http://www.ncbi.nlm.nih.gov/pubmed/1316793', 'http://www.ncbi.nlm.nih.gov/pubmed/11461170', 'http://www.ncbi.nlm.nih.gov/pubmed/24473904', 'http://www.ncbi.nlm.nih.gov/pubmed/3917969'];inflammatory bowel diseases;3.0
bifidobacterium adolescentis;produces;['http://www.ncbi.nlm.nih.gov/pubmed/9424559', 'http://www.ncbi.nlm.nih.gov/pubmed/9424560'];protein complex;Chemicals & Drugs;['Amino Acid, Peptide, or Protein', 'Biologically Active Substance'];gut;intestines;is associated with;['http://www.ncbi.nlm.nih.gov/pubmed/19898558'];inflammatory bowel diseases;3.0
bifidobacterium adolescentis;is part of;['http://www.ncbi.nlm.nih.gov/pubmed/9424559', 'http://www.ncbi.nlm.nih.gov/pubmed/9424560', 'http://www.ncbi.nlm.nih.gov/pubmed/9424559', 'http://www.ncbi.nlm.nih.gov/pubmed/9424560'];protein complex;Chemicals & Drugs;['Amino Acid, Peptide, or Protein', 'Biologically Active Substance'];gut;intestines;is associated with;['http://www.ncbi.nlm.nih.gov/pubmed/19898558'];inflammatory bowel diseases;3.0
bacteroides ovatus;is location of;['http://www.ncbi.nlm.nih.gov/pubmed/19622749'];putative uncharacterized protein encoded by mir7-3hg (homo sapiens);Chemicals & Drugs;['Amino Acid, Peptide, or Protein', 'Biologically Active Substance', 'Immunologic Factor'];gut;intestines;affects;['http://www.ncbi.nlm.nih.gov/pubmed/25375989', 'http://www.ncbi.nlm.nih.gov/pubmed/22974212'];inflammatory bowel diseases;2.0
bacteroides ovatus;is location of;['http://www.ncbi.nlm.nih.gov/pubmed/19622749'];putative uncharacterized protein encoded by mir7-3hg (homo sapiens);Chemicals & Drugs;['Amino Acid, Peptide, or Protein', 'Biologically Active Substance', 'Immunologic Factor'];gut;intestines;is associated with;['http://www.ncbi.nlm.nih.gov/pubmed/25375989', 'http://www.ncbi.nlm.nih.gov/pubmed/22974212', 'http://www.ncbi.nlm.nih.gov/pubmed/14702932', 'http://www.ncbi.nlm.nih.gov/pubmed/11451586', 'http://www.ncbi.nlm.nih.gov/pubmed/14991079', 'http://www.ncbi.nlm.nih.gov/pubmed/21552281', 'http://www.ncbi.nlm.nih.gov/pubmed/24720485', 'http://www.ncbi.nlm.nih.gov/pubmed/26077468', 'http://www.ncbi.nlm.nih.gov/pubmed/10896824', 'http://www.ncbi.nlm.nih.gov/pubmed/24378596', 'http://www.ncbi.nlm.nih.gov/pubmed/25349560', 'http://www.ncbi.nlm.nih.gov/pubmed/10569186', 'http://www.ncbi.nlm.nih.gov/pubmed/11890353', 'http://www.ncbi.nlm.nih.gov/pubmed/17589947', 'http://www.ncbi.nlm.nih.gov/pubmed/22584294', 'http://www.ncbi.nlm.nih.gov/pubmed/24093616', 'http://www.ncbi.nlm.nih.gov/pubmed/11866274', 'http://www.ncbi.nlm.nih.gov/pubmed/25707471', 'http://www.ncbi.nlm.nih.gov/pubmed/24961441', 'http://www.ncbi.nlm.nih.gov/pubmed/25152042', 'http://www.ncbi.nlm.nih.gov/pubmed/19622749'];inflammatory bowel diseases;2.0
bacteroides ovatus;is location of;['http://www.ncbi.nlm.nih.gov/pubmed/19622749'];putative uncharacterized protein encoded by mir7-3hg (homo sapiens);Chemicals & Drugs;['Amino Acid, Peptide, or Protein', 'Biologically Active Substance', 'Immunologic Factor'];gut;intestines;causes;['http://www.ncbi.nlm.nih.gov/pubmed/25375989', 'http://www.ncbi.nlm.nih.gov/pubmed/22974212', 'http://www.ncbi.nlm.nih.gov/pubmed/14702932', 'http://www.ncbi.nlm.nih.gov/pubmed/11451586', 'http://www.ncbi.nlm.nih.gov/pubmed/14991079', 'http://www.ncbi.nlm.nih.gov/pubmed/21552281', 'http://www.ncbi.nlm.nih.gov/pubmed/24720485', 'http://www.ncbi.nlm.nih.gov/pubmed/26077468', 'http://www.ncbi.nlm.nih.gov/pubmed/10896824', 'http://www.ncbi.nlm.nih.gov/pubmed/24378596', 'http://www.ncbi.nlm.nih.gov/pubmed/25349560', 'http://www.ncbi.nlm.nih.gov/pubmed/10569186', 'http://www.ncbi.nlm.nih.gov/pubmed/11890353', 'http://www.ncbi.nlm.nih.gov/pubmed/17589947', 'http://www.ncbi.nlm.nih.gov/pubmed/22584294', 'http://www.ncbi.nlm.nih.gov/pubmed/24093616', 'http://www.ncbi.nlm.nih.gov/pubmed/11866274', 'http://www.ncbi.nlm.nih.gov/pubmed/25707471', 'http://www.ncbi.nlm.nih.gov/pubmed/24961441', 'http://www.ncbi.nlm.nih.gov/pubmed/25152042', 'http://www.ncbi.nlm.nih.gov/pubmed/19622749', 'http://www.ncbi.nlm.nih.gov/pubmed/18844215', 'http://www.ncbi.nlm.nih.gov/pubmed/22108053', 'http://www.ncbi.nlm.nih.gov/pubmed/20476917'];inflammatory bowel diseases;2.0
bacteroides ovatus;is location of;['http://www.ncbi.nlm.nih.gov/pubmed/19622749'];putative uncharacterized protein encoded by mir7-3hg (homo sapiens);Chemicals & Drugs;['Amino Acid, Peptide, or Protein', 'Biologically Active Substance', 'Immunologic Factor'];gut;intestines;predisposes;['http://www.ncbi.nlm.nih.gov/pubmed/25375989', 'http://www.ncbi.nlm.nih.gov/pubmed/22974212', 'http://www.ncbi.nlm.nih.gov/pubmed/14702932', 'http://www.ncbi.nlm.nih.gov/pubmed/11451586', 'http://www.ncbi.nlm.nih.gov/pubmed/14991079', 'http://www.ncbi.nlm.nih.gov/pubmed/21552281', 'http://www.ncbi.nlm.nih.gov/pubmed/24720485', 'http://www.ncbi.nlm.nih.gov/pubmed/26077468', 'http://www.ncbi.nlm.nih.gov/pubmed/10896824', 'http://www.ncbi.nlm.nih.gov/pubmed/24378596', 'http://www.ncbi.nlm.nih.gov/pubmed/25349560', 'http://www.ncbi.nlm.nih.gov/pubmed/10569186', 'http://www.ncbi.nlm.nih.gov/pubmed/11890353', 'http://www.ncbi.nlm.nih.gov/pubmed/17589947', 'http://www.ncbi.nlm.nih.gov/pubmed/22584294', 'http://www.ncbi.nlm.nih.gov/pubmed/24093616', 'http://www.ncbi.nlm.nih.gov/pubmed/11866274', 'http://www.ncbi.nlm.nih.gov/pubmed/25707471', 'http://www.ncbi.nlm.nih.gov/pubmed/24961441', 'http://www.ncbi.nlm.nih.gov/pubmed/25152042', 'http://www.ncbi.nlm.nih.gov/pubmed/19622749', 'http://www.ncbi.nlm.nih.gov/pubmed/18844215', 'http://www.ncbi.nlm.nih.gov/pubmed/22108053', 'http://www.ncbi.nlm.nih.gov/pubmed/20476917', 'http://www.ncbi.nlm.nih.gov/pubmed/17877510'];inflammatory bowel diseases;2.0
bifidobacterium adolescentis;interacts with;['http://www.ncbi.nlm.nih.gov/pubmed/12536198'];collagen alpha-1(xviii) chain (homo sapiens);Chemicals & Drugs;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Biologically Active Substance'];no;no;treats;['http://www.ncbi.nlm.nih.gov/pubmed/20629092'];inflammatory bowel diseases;2.0
dorea formicigenerans;affects;['http://www.ncbi.nlm.nih.gov/pubmed/25527456'];consumption-archaic term for tb;Disorders;['Disease or Syndrome'];gut;intestines;causes;['http://www.ncbi.nlm.nih.gov/pubmed/21587069'];inflammatory bowel diseases;3.0
dorea formicigenerans;affects;['http://www.ncbi.nlm.nih.gov/pubmed/25527456'];consumption-archaic term for tb;Disorders;['Disease or Syndrome'];gut;intestines;coexists with;['http://www.ncbi.nlm.nih.gov/pubmed/21587069', 'http://www.ncbi.nlm.nih.gov/pubmed/16856510', 'http://www.ncbi.nlm.nih.gov/pubmed/21876358', 'http://www.ncbi.nlm.nih.gov/pubmed/23571609'];inflammatory bowel diseases;3.0
dorea formicigenerans;affects;['http://www.ncbi.nlm.nih.gov/pubmed/25527456'];consumption-archaic term for tb;Disorders;['Disease or Syndrome'];gut;intestines;predisposes;['http://www.ncbi.nlm.nih.gov/pubmed/21587069', 'http://www.ncbi.nlm.nih.gov/pubmed/16856510', 'http://www.ncbi.nlm.nih.gov/pubmed/21876358', 'http://www.ncbi.nlm.nih.gov/pubmed/23571609', 'http://www.ncbi.nlm.nih.gov/pubmed/9245929', 'http://www.ncbi.nlm.nih.gov/pubmed/25581832'];inflammatory bowel diseases;3.0
[ruminococcus] gnavus;causes;['http://www.ncbi.nlm.nih.gov/pubmed/25631802'];communicable diseases;Disorders;['Disease or Syndrome'];gut;intestines;predisposes;['http://www.ncbi.nlm.nih.gov/pubmed/25267328', 'http://www.ncbi.nlm.nih.gov/pubmed/26048617', 'http://www.ncbi.nlm.nih.gov/pubmed/21122506', 'http://www.ncbi.nlm.nih.gov/pubmed/22584748', 'http://www.ncbi.nlm.nih.gov/pubmed/21979285', 'http://www.ncbi.nlm.nih.gov/pubmed/24305728', 'http://www.ncbi.nlm.nih.gov/pubmed/23538553', 'http://www.ncbi.nlm.nih.gov/pubmed/25669736'];inflammatory bowel diseases;2.0
[ruminococcus] gnavus;causes;['http://www.ncbi.nlm.nih.gov/pubmed/25631802'];communicable diseases;Disorders;['Disease or Syndrome'];gut;intestines;predisposes;['http://www.ncbi.nlm.nih.gov/pubmed/25267328', 'http://www.ncbi.nlm.nih.gov/pubmed/26048617', 'http://www.ncbi.nlm.nih.gov/pubmed/21122506', 'http://www.ncbi.nlm.nih.gov/pubmed/22584748', 'http://www.ncbi.nlm.nih.gov/pubmed/21979285', 'http://www.ncbi.nlm.nih.gov/pubmed/24305728', 'http://www.ncbi.nlm.nih.gov/pubmed/23538553', 'http://www.ncbi.nlm.nih.gov/pubmed/25669736', 'http://www.ncbi.nlm.nih.gov/pubmed/10894583', 'http://www.ncbi.nlm.nih.gov/pubmed/17505993', 'http://www.ncbi.nlm.nih.gov/pubmed/16882577', 'http://www.ncbi.nlm.nih.gov/pubmed/20210768', 'http://www.ncbi.nlm.nih.gov/pubmed/9297995'];inflammatory bowel diseases;2.0
[ruminococcus] gnavus;causes;['http://www.ncbi.nlm.nih.gov/pubmed/25631802'];communicable diseases;Disorders;['Disease or Syndrome'];gut;intestines;coexists with;['http://www.ncbi.nlm.nih.gov/pubmed/25267328', 'http://www.ncbi.nlm.nih.gov/pubmed/26048617', 'http://www.ncbi.nlm.nih.gov/pubmed/21122506', 'http://www.ncbi.nlm.nih.gov/pubmed/22584748', 'http://www.ncbi.nlm.nih.gov/pubmed/21979285', 'http://www.ncbi.nlm.nih.gov/pubmed/24305728', 'http://www.ncbi.nlm.nih.gov/pubmed/23538553', 'http://www.ncbi.nlm.nih.gov/pubmed/25669736', 'http://www.ncbi.nlm.nih.gov/pubmed/10894583', 'http://www.ncbi.nlm.nih.gov/pubmed/17505993', 'http://www.ncbi.nlm.nih.gov/pubmed/16882577', 'http://www.ncbi.nlm.nih.gov/pubmed/20210768', 'http://www.ncbi.nlm.nih.gov/pubmed/9297995', 'http://www.ncbi.nlm.nih.gov/pubmed/19016806', 'http://www.ncbi.nlm.nih.gov/pubmed/16009684', 'http://www.ncbi.nlm.nih.gov/pubmed/23648494'];inflammatory bowel diseases;2.0
[ruminococcus] gnavus;causes;['http://www.ncbi.nlm.nih.gov/pubmed/25631802'];communicable diseases;Disorders;['Disease or Syndrome'];gut;intestines;does not cause;['http://www.ncbi.nlm.nih.gov/pubmed/25267328', 'http://www.ncbi.nlm.nih.gov/pubmed/26048617', 'http://www.ncbi.nlm.nih.gov/pubmed/21122506', 'http://www.ncbi.nlm.nih.gov/pubmed/22584748', 'http://www.ncbi.nlm.nih.gov/pubmed/21979285', 'http://www.ncbi.nlm.nih.gov/pubmed/24305728', 'http://www.ncbi.nlm.nih.gov/pubmed/23538553', 'http://www.ncbi.nlm.nih.gov/pubmed/25669736', 'http://www.ncbi.nlm.nih.gov/pubmed/10894583', 'http://www.ncbi.nlm.nih.gov/pubmed/17505993', 'http://www.ncbi.nlm.nih.gov/pubmed/16882577', 'http://www.ncbi.nlm.nih.gov/pubmed/20210768', 'http://www.ncbi.nlm.nih.gov/pubmed/9297995', 'http://www.ncbi.nlm.nih.gov/pubmed/19016806', 'http://www.ncbi.nlm.nih.gov/pubmed/16009684', 'http://www.ncbi.nlm.nih.gov/pubmed/23648494', 'http://www.ncbi.nlm.nih.gov/pubmed/21819691'];inflammatory bowel diseases;2.0
[ruminococcus] gnavus;causes;['http://www.ncbi.nlm.nih.gov/pubmed/25631802'];communicable diseases;Disorders;['Disease or Syndrome'];gut;intestines;causes;['http://www.ncbi.nlm.nih.gov/pubmed/25267328', 'http://www.ncbi.nlm.nih.gov/pubmed/26048617', 'http://www.ncbi.nlm.nih.gov/pubmed/21122506', 'http://www.ncbi.nlm.nih.gov/pubmed/22584748', 'http://www.ncbi.nlm.nih.gov/pubmed/21979285', 'http://www.ncbi.nlm.nih.gov/pubmed/24305728', 'http://www.ncbi.nlm.nih.gov/pubmed/23538553', 'http://www.ncbi.nlm.nih.gov/pubmed/25669736', 'http://www.ncbi.nlm.nih.gov/pubmed/10894583', 'http://www.ncbi.nlm.nih.gov/pubmed/17505993', 'http://www.ncbi.nlm.nih.gov/pubmed/16882577', 'http://www.ncbi.nlm.nih.gov/pubmed/20210768', 'http://www.ncbi.nlm.nih.gov/pubmed/9297995', 'http://www.ncbi.nlm.nih.gov/pubmed/19016806', 'http://www.ncbi.nlm.nih.gov/pubmed/16009684', 'http://www.ncbi.nlm.nih.gov/pubmed/23648494', 'http://www.ncbi.nlm.nih.gov/pubmed/21819691', 'http://www.ncbi.nlm.nih.gov/pubmed/11518689', 'http://www.ncbi.nlm.nih.gov/pubmed/15752557', 'http://www.ncbi.nlm.nih.gov/pubmed/18095317', 'http://www.ncbi.nlm.nih.gov/pubmed/21747425', 'http://www.ncbi.nlm.nih.gov/pubmed/22619032', 'http://www.ncbi.nlm.nih.gov/pubmed/25007240', 'http://www.ncbi.nlm.nih.gov/pubmed/11839595', 'http://www.ncbi.nlm.nih.gov/pubmed/20076977', 'http://www.ncbi.nlm.nih.gov/pubmed/9194827', 'http://www.ncbi.nlm.nih.gov/pubmed/10080877'];inflammatory bowel diseases;2.0
