"Subject","Predicate","Object","Provenance","Score"
"multicellular organismal development","performs","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","233046930","10.8401"
"loc4326515 (oryza sativa japonica)","gene product has function","cytokinin oxidase","204275990","10.7749"
"cytokinin oxidase","performs","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","233046930","11.2794"
"loc4326515 (oryza sativa japonica)","gene product has function","cytokinin dehydrogenase activity","184887740","11.7104"
"cytokinin dehydrogenase activity","gene product has function","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","233046930","13.2286"
"loc4326515 (oryza sativa japonica)","gene product plays role in biological process","cytokinin oxidase activity","204194547","8.548"
"cytokinin oxidase activity","performs","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","233046930","11.1142"
"loc4326515 (oryza sativa japonica)","gene product has function","cytokinin metabolic process","184877901","11.2345"
"cytokinin metabolic process","gene product has function","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","233046930","7.8104"
"loc4326515 (oryza sativa japonica)","gene product has function","oxidoreductase activity, acting on the ch-oh group of donors, other acceptors","186513214","11.2056"
"oxidoreductase activity, acting on the ch-oh group of donors, other acceptors","carries out","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","233046930","10.9335"
"loc4326515 (oryza sativa japonica)","gene product has function","flavin adenine dinucleotide binding","186263901","11.3452"
"flavin adenine dinucleotide binding","gene product has function","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","186263901","6.9852"
"loc4326515 (oryza sativa japonica)","is a","multicellular organismal development","184880195","9.2264"
"multicellular organismal development","gene product has function","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","187824857","9.2278"
"loc4326515 (oryza sativa japonica)","performs","oxidoreductase activity, acting on other substrates","227012932","9.2583"
"oxidoreductase activity, acting on other substrates","gene product has function","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","186263901","9.5772"
"loc4332564 (oryza sativa japonica)","performs","multicellular organismal development","184880195","10.6929"
"multicellular organismal development","gene product has function","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","187824857","11.2415"
"loc4328552 (oryza sativa japonica)","gene product has function","oxidoreductase activity, acting on other substrates","227012932","12.5255"
"oxidoreductase activity, acting on other substrates","performs","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","186263901","11.1049"
"sol1 (arabidopsis thaliana)","gene product has function","multicellular organismal development","184880195","12.5954"
"multicellular organismal development","gene product plays role in biological process","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","204071060","11.6649"
"loc9271572 (oryza sativa japonica)","gene product has function","multicellular organismal development","233046930","11.1745"
"multicellular organismal development","gene product has function","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","184880195","12.7123"
"oryza sativa","gene product has function","flavoproteins","233046930","13.8367"
"flavoproteins","performs","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","184880195","11.3964"
"oryza sativa","gene product has function","glycoproteins","204071060","11.582"
"glycoproteins","performs","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","233046930","11.4796"
"loc9270575 (oryza sativa japonica)","gene product has function","multicellular organismal development","204071060","10.6182"
"multicellular organismal development","performs","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","233046930","11.4334"
"loc4333680 (oryza sativa japonica)","gene product has function","multicellular organismal development","184880195","11.4422"
"multicellular organismal development","gene product has function","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","187824854","11.3452"
"yab3 (arabidopsis thaliana)","performs","multicellular organismal development","233046930","12.6238"
"multicellular organismal development","gene product has function","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","204126518","11.3172"
"mads-box transcription factor 4 (oryza sativa subsp. japonica)","performs","multicellular organismal development","233046930","12.0686"
"multicellular organismal development","gene product has function","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","184868398","12.5115"
"loc4330700 (oryza sativa japonica)","gene product has function","multicellular organismal development","204181941","12.531"
"multicellular organismal development","carries out","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","233046930","10.4376"
"loc4330805 (oryza sativa japonica)","gene product has function","multicellular organismal development","186647964","12.2703"
"multicellular organismal development","performs","cytokinin dehydrogenase 2 (oryza sativa subsp. japonica)","233046930","12.64"
