Preferred_label;ID;Semantic_Category;Synonyms
protein import into mitochondrial intermembrane space, nonconservative;3221622;Physiology;c1156080, protein import into mitochondrial intermembrane space, nonconservative, go:0045041
protein maturation;298883;Physiology;protein maturation, c1660003, go:0051604
metabolism resulting in cell growth;3257555;Physiology;glycosidase, go:0016049, c1155899, kw-0326, kw-0081, go:0008152, bacteriolytic enzyme, metabolism resulting in cell growth
microtubule/chromatin interaction;3221346;Physiology;c1155779, kw-0371, go:0008546, go:0008017, kw-0238, dna invertase, microtubule/chromatin interaction, go:0003682, homeobox, dna-binding, kw-0230, go:0003677
cellular transcription;2179615;Physiology;kw-0804, transcription, cellular transcription, go:0006351, c2755756
metabolism resulting in cell growth;3257555;Physiology;glycosidase, go:0016049, c1155899, kw-0326, kw-0081, go:0008152, bacteriolytic enzyme, metabolism resulting in cell growth
microtubule/chromatin interaction;3221346;Physiology;c1155779, kw-0371, go:0008546, go:0008017, kw-0238, dna invertase, microtubule/chromatin interaction, go:0003682, homeobox, dna-binding, kw-0230, go:0003677
cellular transcription;2179615;Physiology;kw-0804, transcription, cellular transcription, go:0006351, c2755756
small molecule transport;778845;Physiology;go:0006832, go:0006810, small molecule transport, c1326938, translocation, kw-0811, kw-0813, transport
biological transport;437917;Physiology;0418-2413, transport, biological, biological transport, function, 60d biological transport, translocation, transport, nos, biologic transport, transport, biologic, transport, biological transport, biological transport, function (observable entity), go:0006810, d001692, kw-0811, biol transport, c0005528, biological transport (function), transport biol
solute:solute exchange;3244323;Physiology;kw-0050, go:0015297, go:0006810, translocation, solute:solute exchange, c1159783, kw-0811, go:0015300, kw-0813, transport, antiport, go:0030180
small molecule transport;778845;Physiology;go:0006832, go:0006810, small molecule transport, c1326938, translocation, kw-0811, kw-0813, transport
biological transport;437917;Physiology;0418-2413, transport, biological, biological transport, function, 60d biological transport, translocation, transport, nos, biologic transport, transport, biologic, transport, biological transport, biological transport, function (observable entity), go:0006810, d001692, kw-0811, biol transport, c0005528, biological transport (function), transport biol
endocytosis;4036117;Physiology;go:0006897, vesicle endocytosis, 4000-0175, c0014139, endocytotic process, d004705, endocytosis, plasma membrane invagination, endocytoses, endocytic process, kw-0254, endocytose
solute:solute exchange;3244323;Physiology;kw-0050, go:0015297, go:0006810, translocation, solute:solute exchange, c1159783, kw-0811, go:0015300, kw-0813, transport, antiport, go:0030180
vesicle organization;3220602;Physiology;c1156139, vesicle organisation, go:0016050, vesicle organization, vesicle organization and biogenesis
nonselective vesicle endocytosis;2773077;Physiology;go:0006897, nonselective vesicle endocytosis, endocytosis, kw-0254, c1749556
enzyme transport;2771765;Physiology;protein transport, go:0015031, c1750080, kw-0653, enzyme transport
protein transport;266200;Physiology;protein transport, trafficking, protein, traffickings, protein, c0599895, protein trafficking, go:0015031, protein traffickings, 2446-2800, kw-0653, d021381, protein transports
microtubule/chromatin interaction;3221346;Physiology;c1155779, kw-0371, go:0008546, go:0008017, kw-0238, dna invertase, microtubule/chromatin interaction, go:0003682, homeobox, dna-binding, kw-0230, go:0003677
cellular transcription;2179615;Physiology;kw-0804, transcription, cellular transcription, go:0006351, c2755756
small molecule transport;778845;Physiology;go:0006832, go:0006810, small molecule transport, c1326938, translocation, kw-0811, kw-0813, transport
biological transport;437917;Physiology;0418-2413, transport, biological, biological transport, function, 60d biological transport, translocation, transport, nos, biologic transport, transport, biologic, transport, biological transport, biological transport, function (observable entity), go:0006810, d001692, kw-0811, biol transport, c0005528, biological transport (function), transport biol
metabolism resulting in cell growth;3257555;Physiology;glycosidase, go:0016049, c1155899, kw-0326, kw-0081, go:0008152, bacteriolytic enzyme, metabolism resulting in cell growth
solute:solute exchange;3244323;Physiology;kw-0050, go:0015297, go:0006810, translocation, solute:solute exchange, c1159783, kw-0811, go:0015300, kw-0813, transport, antiport, go:0030180
