"","id","name"
"124","10773691","does not practice"
"125","10773692","is not administered to"
"126","10773693","does not occur in"
"127","10773694","is not process of"
"128","10773695","does not use"
"129","10773696","is not manifestation of"
"130","10773697","does not indicate"
"131","10773698","is not result of"
"132","10773699","negated causal relations"
"133","10773700","does not bring about"
"134","10773701","does not produce"
"135","10773702","does not cause"
"136","10773703","negated time relations"
"137","10773704","has no timing relation to"
"138","10773705","does not co-occur with"
"139","10773706","does not precede"
"140","10773707","does not predispose"
"141","10773708","negated conceptual relations"
"142","10773709","is not conceptually related to"
"143","10773710","is not evaluation of"
"144","10773711","is not method of"
"145","10773712","is not conceptual part of"
"146","10773713","is not issue in"
"147","10773714","is not degree of"
"148","10773715","does not analyze"
"149","10773716","does assess the effect of"
"150","10773717","is not measurement of"
"151","10773718","does not measure"
"152","10773719","does not diagnose"
"153","10773720","is not property of"
"154","10773721","is not derivative of"
"155","10773722","is not developmental form of"
"156","10773723","is not higher than"
"157","10773724","is not lower than"
"158","10773725","is not compared with"
"159","10773726","is not the same as"
"160","10773727","is not classified as"
"161","10773728","negated gene product relations"
"162","10773729","gene product does not have function"
"163","10773730","gene product is not encoded by"
"164","10773731","gene product is not expressed in"
"165","10773732","gene product does not have abnormality"
"166","10773538","Name"
"167","10773539","hierarchy"
"168","10773540","is a"
"169","10773541","is parent of"
"170","10773542","association"
"171","10773543","is associated with"
"172","10773544","physical relations"
"173","10773545","is physically related to"
"174","10773546","is part of"
"175","10773547","consists of"
"176","10773548","contains"
"177","10773549","is connected to"
"178","10773550","interconnects"
"179","10773551","is branch of"
"180","10773552","is tributary of"
"181","10773553","is ingredient of"
"182","10773554","converts to"
"183","10773555","coexists with"
"184","10773556","is variant of"
"185","10773557","spatial relations"
"186","10773558","is spatially related to"
"187","10773559","is location of"
"188","10773560","is located at"
"189","10773561","is adjacent to"
"190","10773562","surrounds"
"191","10773563","traverses"
"192","10773564","functional relations"
"193","10773565","is functionally related to"
"194","10773566","affects"
"195","10773567","manages"
"196","10773568","treats"
"197","10773569","disrupts"
"198","10773570","complicates"
"199","10773571","interacts with"
"200","10773572","prevents"
"201","10773573","augments"
"202","10773574","stimulates"
"203","10773576","depends on"
