qtl_accession_id,qtl_name,published_symbol,to_accession,trait_category,trait_name,trait_symbol,chromosome,start,end
AQO011,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,37713253,37713775
AQO014,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,37713253,37713775
AQGJ018,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,33053493,33053654
AQGJ001,BNL6.32,,TO:0000074,Biotic stress,blast disease resistance,BLRS,Chr. 1,29446995,29447853
AQHE119,BNL6.32,,TO:0000207,Vigor,plant height,PTHT,Chr. 1,10121499,15618206
AQHE120,BNL6.32,,TO:0000207,Vigor,plant height,PTHT,Chr. 1,37713253,37713775
AQHE127,BNL6.32,,TO:0000207,Vigor,plant height,PTHT,Chr. 1,37713253,37713775
AQHE130,BNL6.32,,TO:0000207,Vigor,plant height,PTHT,Chr. 1,37713253,39688417
AQHE136,BNL6.32,,TO:0000207,Vigor,plant height,PTHT,Chr. 1,37713253,37713775
AQHE143,BNL6.32,,TO:0000207,Vigor,plant height,PTHT,Chr. 1,37713253,37713775
AQHE001,BNL6.32,,TO:0000227,Anatomy,root length,RTLG,Chr. 1,33053493,33053654
AQHE002,BNL6.32,,TO:0000227,Anatomy,root length,RTLG,Chr. 1,39687395,39688417
AQHE009,BNL6.32,,TO:0000227,Anatomy,root length,RTLG,Chr. 1,39687395,39688417
AQHE012,BNL6.32,,TO:0000227,Anatomy,root length,RTLG,Chr. 1,33053493,33053654
AQHE013,BNL6.32,,TO:0000227,Anatomy,root length,RTLG,Chr. 1,39687395,39688417
AQHE023,BNL6.32,,TO:0000306,Anatomy,root thickness,RTTH,Chr. 1,39687395,39688417
AQHE029,BNL6.32,,TO:0000306,Anatomy,root thickness,RTTH,Chr. 1,37713253,37713775
AQHE031,BNL6.32,,TO:0000306,Anatomy,root thickness,RTTH,Chr. 1,39687395,39688417
AQHE043,BNL6.32,,TO:0000306,Anatomy,root thickness,RTTH,Chr. 1,39687395,39688417
AQHE087,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,42412421,42413852
AQHE093,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,37713253,37713775
AQHE097,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,24186290,24188875
AQHE098,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,42412421,42413852
AQHE111,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,39687395,39688417
AQHE056,BNL6.32,,TO:0000279,Abiotic stress,root weight,RTWT,Chr. 1,39687395,39688417
AQHE062,BNL6.32,,TO:0000279,Abiotic stress,root weight,RTWT,Chr. 1,33053493,33053654
AQHE068,BNL6.32,,TO:0000279,Abiotic stress,root weight,RTWT,Chr. 1,29446995,29447853
AQE068,BNL6.32,,TO:0000207,Vigor,plant height,PTHT,Chr. 1,23971321,33053654
AQE084,BNL6.32,,TO:0000456,Yield,spikelet number,SPKNB,Chr. 1,4635793,4635870
AQE085,BNL6.32,,TO:0000456,Yield,spikelet number,SPKNB,Chr. 1,4424392,4424515
AQE008,BNL6.32,,TO:0000447,Yield,filled grain number,FGRNB,Chr. 1,4424392,7445919
AQE010,BNL6.32,,TO:0000447,Yield,filled grain number,FGRNB,Chr. 1,4424392,4424515
AQE021,BNL6.32,,TO:0000449,Yield,grain yield per plant,GRYLDPPL,Chr. 1,4635793,4635870
AQE023,BNL6.32,,TO:0000449,Yield,grain yield per plant,GRYLDPPL,Chr. 1,4635793,4635870
AQE032,BNL6.32,,TO:0000450,Yield,grain yield per panicle,GRYLDPPN,Chr. 1,4635793,4635870
AQE035,BNL6.32,,TO:0000450,Yield,grain yield per panicle,GRYLDPPN,Chr. 1,4424392,4635870
AQE058,BNL6.32,,TO:0000448,Yield,filled grain percentage,FGRPCENT,Chr. 1,23325018,23325199
AQFP016,BNL6.32,cs1,TO:0000051,Quality,culm strength,CULMSTR,Chr. 1,23971321,32987357
AQCT001,BNL6.32,Pi-24(t),TO:0000074,Biotic stress,blast disease resistance,BLRS,Chr. 1,4738488,30170285
AQGA005,BNL6.32,,TO:0000196,Quality,amylose content,AMYCN,Chr. 1,38893890,38894388
AQGA018,BNL6.32,,TO:0000196,Quality,amylose content,AMYCN,Chr. 1,38893890,38894388
AQGA025,BNL6.32,,TO:0000211,Quality,gel consistency,GELCON,Chr. 1,9605625,9605888
AQGA029,BNL6.32,asv1,TO:0000462,Quality,gelatinization temperature,GELTZTMP,Chr. 1,30737705,32099860
AQGA034,BNL6.32,,TO:0000462,Quality,gelatinization temperature,GELTZTMP,Chr. 1,9605625,9605888
AQHF014,BNL6.32,QDg1,TO:0000495,Biochemical,chlorophyll content,CHLCN,Chr. 1,32987234,37889506
AQHF019,BNL6.32,QRdg1,TO:0000249,Development,leaf senescence,LFSNS,Chr. 1,32987234,37889506
AQDM001,BNL6.32,Ste1,TO:0000436,Sterility or fertility,spikelet sterility,SPKST,Chr. 1,24186290,24764951
AQDM003,BNL6.32,Ste3,TO:0000436,Sterility or fertility,spikelet sterility,SPKST,Chr. 1,41967890,43046407
AQDM004,BNL6.32,Ste1,TO:0000436,Sterility or fertility,spikelet sterility,SPKST,Chr. 1,24186290,24764951
AQAH002,BNL6.32,DFR-1,TO:0000074,Biotic stress,blast disease resistance,BLRS,Chr. 1,24186290,29184844
AQCO034,BNL6.32,,TO:0000421,Sterility or fertility,pollen fertility,PF,Chr. 1,42953262,42955596
AQCO136,BNL6.32,,TO:0000421,Sterility or fertility,pollen fertility,PF,Chr. 1,41215530,41215853
AQCP034,BNL6.32,,TO:0000421,Sterility or fertility,pollen fertility,PF,Chr. 1,42953262,42955596
AQCO036,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,42953262,42955596
AQCO038,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,42953262,42955596
AQCO040,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,42953262,42955596
AQCO042,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,42953262,42955596
AQCO044,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,42953262,42955596
AQCO046,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,42953262,42955596
AQCO138,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,41215530,41215853
AQCP036,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,42953262,42955596
AQCP038,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,42953262,42955596
AQCP040,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,42953262,42955596
AQCP042,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,42953262,42955596
AQCP044,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,42953262,42955596
AQCP046,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,42953262,42955596
AQCO098,BNL6.32,,TO:0000421,Sterility or fertility,pollen fertility,PF,Chr. 1,1039086,1039868
AQCP096,BNL6.32,,TO:0000421,Sterility or fertility,pollen fertility,PF,Chr. 1,1039086,1039868
AQCO100,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,1039086,1039868
AQCO102,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,1039086,1039868
AQCO104,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,1039086,1039868
AQCO106,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,1039086,1039868
AQCO108,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,1039086,1039868
AQCO139,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,4753787,4754502
AQCO141,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,4753787,4754502
AQCP098,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,1039086,1039868
AQCP100,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,1039086,1039868
AQCP102,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,1039086,1039868
AQCP104,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,1039086,1039868
AQCP106,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 1,1039086,1039868
AQAE001,BNL6.32,qChla1-1,TO:0000495,Biochemical,chlorophyll content,CHLCN,Chr. 1,4753787,4754502
AQAG019,BNL6.32,gp1a,TO:0000445,Yield,grain number,GRNB,Chr. 1,7445627,7445919
AQAG023,BNL6.32,gp1a,TO:0000445,Yield,grain number,GRNB,Chr. 1,4753787,4754502
AQAG024,BNL6.32,gp1b,TO:0000445,Yield,grain number,GRNB,Chr. 1,28330412,30066027
AQAG025,BNL6.32,gp1c,TO:0000445,Yield,grain number,GRNB,Chr. 1,37713253,41969197
AQY001,BNL6.32,ph1,TO:0000207,Vigor,plant height,PTHT,Chr. 1,34470620,41969197
AQY005,BNL6.32,ph1,TO:0000207,Vigor,plant height,PTHT,Chr. 1,34470620,41969197
AQAE013,BNL6.32,qPH1-1,TO:0000207,Vigor,plant height,PTHT,Chr. 1,37713253,41969197
AQBZ011,BNL6.32,Ph1,TO:0000207,Vigor,plant height,PTHT,Chr. 1,33053493,33053654
AQAC024,BNL6.32,qRDW1-1,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 1,4753787,4754502
AQGI008,BNL6.32,,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 1,1890153,4754502
AQGI009,BNL6.32,,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 1,34470620,37713775
AQGI036,BNL6.32,,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 1,198822,1891260
AQGI037,BNL6.32,,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 1,10076915,23325199
AQGI038,BNL6.32,,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 1,34470620,37713775
AQGI069,BNL6.32,rrw1a,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 1,23971321,23971514
AQGI070,BNL6.32,rrw1b,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 1,37713253,41969197
AQGI074,BNL6.32,,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 1,23325018,23971514
AQQ015,BNL6.32,gn1,TO:0000445,Yield,seed number,SDNB,Chr. 1,4753787,4754502
AQQ018,BNL6.32,gn1,TO:0000445,Yield,seed number,SDNB,Chr. 1,4753787,4754502
AQCB014,BNL6.32,ss1,TO:0000455,Yield,seed set percent,SDSPCENT,Chr. 1,34470620,37713775
AQQ023,BNL6.32,gw1a,TO:0000181,Yield,seed weight,SDWT,Chr. 1,4753787,4754502
AQQ024,BNL6.32,gw1b,TO:0000181,Yield,seed weight,SDWT,Chr. 1,34470620,37713775
AQQ025,BNL6.32,gw1c,TO:0000181,Yield,seed weight,SDWT,Chr. 1,41967890,42955596
AQQ030,BNL6.32,gw1a,TO:0000181,Yield,seed weight,SDWT,Chr. 1,4753787,4754502
AQAC046,BNL6.32,qSW1-1,TO:0000181,Yield,seed weight,SDWT,Chr. 1,41967890,42955596
AQAC047,BNL6.32,qSW1-2,TO:0000181,Yield,seed weight,SDWT,Chr. 1,34470620,37713775
AQAC048,BNL6.32,qSW1-3,TO:0000181,Yield,seed weight,SDWT,Chr. 1,4753787,4754502
AQAE017,BNL6.32,qSS1-1,TO:0000181,Yield,seed weight,SDWT,Chr. 1,34470620,37713775
AQAE018,BNL6.32,qSS1-2,TO:0000181,Yield,seed weight,SDWT,Chr. 1,4753787,4754502
AQAB015,BNL6.32,qSSBp1-1,TO:0000456,Yield,spikelet number,SPKNB,Chr. 1,34470620,37713775
AQAB016,BNL6.32,qSSBp1-2,TO:0000456,Yield,spikelet number,SPKNB,Chr. 1,4753787,4754502
AQAB019,BNL6.32,qTS1-1,TO:0000456,Yield,spikelet number,SPKNB,Chr. 1,34470620,37713775
AQAB029,BNL6.32,qSSB1-1,TO:0000456,Yield,spikelet number,SPKNB,Chr. 1,4753787,4754502
AQAB048,BNL6.32,qSPBp1-1,TO:0000456,Yield,spikelet number,SPKNB,Chr. 1,37713253,41969197
AQAB054,BNL6.32,qSSBp1-1,TO:0000456,Yield,spikelet number,SPKNB,Chr. 1,34470620,37713775
AQAB055,BNL6.32,qSSBp1-2,TO:0000456,Yield,spikelet number,SPKNB,Chr. 1,4753787,4754502
AQAB065,BNL6.32,qSPB1-1,TO:0000456,Yield,spikelet number,SPKNB,Chr. 1,34470620,37713775
AQAB066,BNL6.32,qSPB1-2,TO:0000456,Yield,spikelet number,SPKNB,Chr. 1,4753787,4754502
AQAB070,BNL6.32,qSSB1-1,TO:0000456,Yield,spikelet number,SPKNB,Chr. 1,4753787,4754502
AQAB074,BNL6.32,qSD1-1,TO:0000456,Yield,spikelet number,SPKNB,Chr. 1,37713253,41969197
AQAB075,BNL6.32,qSD1-2,TO:0000456,Yield,spikelet number,SPKNB,Chr. 1,7445627,7970839
AQCB001,BNL6.32,sp1a,TO:0000456,Yield,spikelet number,SPKNB,Chr. 1,4753787,4754502
AQCB002,BNL6.32,sp1b,TO:0000456,Yield,spikelet number,SPKNB,Chr. 1,34470620,37713775
AQAI069,BNL6.32,qGW1-2,TO:0000382,Yield,1000-grain weight,TGRWT,Chr. 1,34470620,37713775
AQAI070,BNL6.32,qGW1-3,TO:0000382,Yield,1000-grain weight,TGRWT,Chr. 1,4753787,4754502
AQQ008,BNL6.32,tp1a,TO:0000346,Vigor,tiller number,TINB,Chr. 1,30065560,31047458
AQQ011,BNL6.32,tp1b,TO:0000346,Vigor,tiller number,TINB,Chr. 1,34470620,40065325
AQAG008,BNL6.32,tp1,TO:0000346,Vigor,tiller number,TINB,Chr. 1,41967890,42955596
AQAG014,BNL6.32,tp1,TO:0000346,Vigor,tiller number,TINB,Chr. 1,41967890,42955596
AQAC028,BNL6.32,qMRL1-1,TO:0000227,Anatomy,root length,RTLG,Chr. 1,34470620,37713775
AQAC029,BNL6.32,qMRL1-2,TO:0000227,Anatomy,root length,RTLG,Chr. 1,4753787,4754502
AQBN005,BNL6.32,,TO:0000196,Quality,amylose content,AMYCN,Chr. 1,15006503,15008871
AQBN010,BNL6.32,,TO:0000211,Quality,gel consistency,GELCON,Chr. 1,15006503,15008871
AQCB011,BNL6.32,gp1,TO:0000447,Yield,filled grain number,FGRNB,Chr. 1,7445627,7445919
AQCY009,BNL6.32,gp1,TO:0000447,Yield,filled grain number,FGRNB,Chr. 1,28330412,28330739
AQCY036,BNL6.32,,TO:0000447,Yield,filled grain number,FGRNB,Chr. 1,1890153,1891260
AQCY038,BNL6.32,,TO:0000447,Yield,filled grain number,FGRNB,Chr. 1,7445627,7445919
AQCY040,BNL6.32,,TO:0000447,Yield,filled grain number,FGRNB,Chr. 1,7970722,7970839
AQCY042,BNL6.32,,TO:0000447,Yield,filled grain number,FGRNB,Chr. 1,7970722,7970839
AQCY044,BNL6.32,,TO:0000447,Yield,filled grain number,FGRNB,Chr. 1,7970722,7970839
AQCY046,BNL6.32,,TO:0000447,Yield,filled grain number,FGRNB,Chr. 1,7970722,7970839
AQCY048,BNL6.32,,TO:0000447,Yield,filled grain number,FGRNB,Chr. 1,42953262,42955596
AQCY050,BNL6.32,,TO:0000447,Yield,filled grain number,FGRNB,Chr. 1,42953262,42955596
AQCY052,BNL6.32,,TO:0000447,Yield,filled grain number,FGRNB,Chr. 1,42953262,42955596
AQCY112,BNL6.32,,TO:0000447,Yield,filled grain number,FGRNB,Chr. 1,7970722,7970839
AQQ001,BNL6.32,yd1b,TO:0000396,Yield,grain yield,GRYLD,Chr. 1,34470620,40065325
AQQ004,BNL6.32,yd1a,TO:0000396,Yield,grain yield,GRYLD,Chr. 1,28330412,30066027
AQQ005,BNL6.32,yd1b,TO:0000396,Yield,grain yield,GRYLD,Chr. 1,34470620,40065325
AQAG004,BNL6.32,yd1,TO:0000396,Yield,grain yield,GRYLD,Chr. 1,34470620,37713775
AQCY001,BNL6.32,yd1,TO:0000396,Yield,grain yield,GRYLD,Chr. 1,34470620,40065325
AQAG029,BNL6.32,gw1a,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 1,4753787,4754502
AQAG030,BNL6.32,gw1b,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 1,34470620,37713775
AQAG041,BNL6.32,gw1a,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 1,4753787,4754502
AQAG042,BNL6.32,gw1b,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 1,34470620,37713775
AQAG043,BNL6.32,gw1c,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 1,13902370,13902866
AQCY031,BNL6.32,gw1,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 1,37713253,41969197
AQEY001,BNL6.32,Kw1-1,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 1,4753787,4754502
AQEY003,BNL6.32,Kw1-2,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 1,10076915,23971514
AQEY005,BNL6.32,Kw1-3,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 1,31046003,31047458
AQEY007,BNL6.32,Kw1-3,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 1,33053493,33053654
AQEY009,BNL6.32,Kw1-4,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 1,33053493,33053654
AQAC017,BNL6.32,qSDW1-1,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,41967890,42955596
AQEX015,BNL6.32,qSDW1,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,34470620,37713775
AQGI099,BNL6.32,n-s1,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,41967890,42955596
AQGI107,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,7445627,7445919
AQGI108,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,7970722,7970839
AQGI109,BNL6.32,n-s1,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,41967890,42955596
AQGI118,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,33053493,40065325
AQGI132,BNL6.32,n+s1a,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,198822,1891260
AQGI133,BNL6.32,n+s1b,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,28330412,30066027
AQGI155,BNL6.32,rsw1b,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,28330412,28330739
AQGI156,BNL6.32,rsw1c,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,41967890,42955596
AQGI160,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,1890153,4754502
AQGI161,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,198822,1891260
AQGI162,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,1890153,4754502
AQGI163,BNL6.32,rsw1b,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,28330412,28330739
AQCA001,BNL6.32,gl1,TO:0000146,Quality,seed length,SDLG,Chr. 1,33053493,33053654
AQCA011,BNL6.32,gl1,TO:0000146,Quality,seed length,SDLG,Chr. 1,33053493,33053654
AQAB021,BNL6.32,qLSVB1-1,TO:0000539,Anatomy,large vascular bundle number,LVBNB,Chr. 1,34470620,40065325
AQAB061,BNL6.32,qLSVB1-1,TO:0000539,Anatomy,large vascular bundle number,LVBNB,Chr. 1,34470620,40065325
AQAI019,BNL6.32,qLVB1-1,TO:0000539,Anatomy,large vascular bundle number,LVBNB,Chr. 1,34470620,40065325
AQAB008,BNL6.32,qNSB1-1,TO:0000557,Anatomy,secondary branch,SBRNB,Chr. 1,34470620,37713775
AQAB009,BNL6.32,qNSB1-2,TO:0000557,Anatomy,secondary branch,SBRNB,Chr. 1,4753787,4754502
AQAB042,BNL6.32,qNSB1-1,TO:0000557,Anatomy,secondary branch,SBRNB,Chr. 1,34470620,37713775
AQAB043,BNL6.32,qNSB1-2,TO:0000557,Anatomy,secondary branch,SBRNB,Chr. 1,4753787,4754502
AQAC009,BNL6.32,qTDW1-1,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,41967890,42955596
AQAC010,BNL6.32,qTDW1-2,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,4753787,4754502
AQGI190,BNL6.32,n-p1,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,41967890,42955596
AQGI197,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,198822,1891260
AQGI198,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,33053493,33053654
AQGI199,BNL6.32,n-p1,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,41967890,42955596
AQGI217,BNL6.32,n+p1a,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,198822,1891260
AQGI218,BNL6.32,n+p1b,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,28330412,30066027
AQGI222,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,34470620,37713775
AQGI249,BNL6.32,rpw1a,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,28330412,28330739
AQGI250,BNL6.32,rpw1c,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,37713253,41969197
AQGI253,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,30065560,31047458
AQGI254,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,34470620,37713775
AQGI255,BNL6.32,rpw1c,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 1,37713253,41969197
AQAE004,BNL6.32,qLS1-1,TO:0000135,Anatomy,leaf length,LFLG,Chr. 1,33053493,40065325
AQAE005,BNL6.32,qLS1-2,TO:0000135,Anatomy,leaf length,LFLG,Chr. 1,4753787,4754502
AQAE009,BNL6.32,qLT1-1,TO:0000135,Anatomy,leaf length,LFLG,Chr. 1,1890153,4754502
AQAF001,BNL6.32,rbr1a,TO:0000074,Biotic stress,blast disease resistance,BLRS,Chr. 1,198822,1891260
AQAF002,BNL6.32,rbr1a,TO:0000074,Biotic stress,blast disease resistance,BLRS,Chr. 1,198822,1891260
AQAF003,BNL6.32,rbr1a,TO:0000074,Biotic stress,blast disease resistance,BLRS,Chr. 1,198822,1891260
AQAF004,BNL6.32,rbr1b,TO:0000074,Biotic stress,blast disease resistance,BLRS,Chr. 1,7445627,7970839
AQAF005,BNL6.32,rbr1b,TO:0000074,Biotic stress,blast disease resistance,BLRS,Chr. 1,7445627,7970839
AQAF006,BNL6.32,rbr1b,TO:0000074,Biotic stress,blast disease resistance,BLRS,Chr. 1,7445627,7445919
AQAF007,BNL6.32,rbr1b,TO:0000074,Biotic stress,blast disease resistance,BLRS,Chr. 1,7970722,7970839
AQAF008,BNL6.32,rbr1b,TO:0000074,Biotic stress,blast disease resistance,BLRS,Chr. 1,7970722,7970839
AQAF009,BNL6.32,rbr1b,TO:0000074,Biotic stress,blast disease resistance,BLRS,Chr. 1,7970722,7970839
AQAF010,BNL6.32,rbr1c,TO:0000074,Biotic stress,blast disease resistance,BLRS,Chr. 1,31046003,31047458
AQAF011,BNL6.32,rbr1c,TO:0000074,Biotic stress,blast disease resistance,BLRS,Chr. 1,31046003,31047458
AQAF012,BNL6.32,rbr1d,TO:0000074,Biotic stress,blast disease resistance,BLRS,Chr. 1,33053493,40065325
