"Subject","Predicate","Object","Provenance","Score"
"vma22 (saccharomyces cerevisiae s288c)","is adjacent to","(3s,6s,9s,12r,15s,18s,21s,24s,30s,33s)-30-ethyl-33-[(1r,3r,4r,6r)-1-hydroxy-4-methyl-2-oxabicyclo[4.2.0]oct-3-yl]-6,9,18,24-tetraisobutyl-3,21-diisopropyl-1,4,7,10,12,15,19,25,28-nonamethyl-1,4,7,10,13,16,19,22,25,28,31-undecaazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone","STRING-db4932.YCR020W-B","9.159"
"vma22 (saccharomyces cerevisiae s288c)","affects","rpp1 (saccharomyces cerevisiae s288c)","S000118618|YER084W|methyl methanesulfonate","9.7107"
"vma22 (saccharomyces cerevisiae s288c)","affects","(3s,6s,9s,12r,15s,18s,21s,24s,30s,33s)-33-[(1r,2r)-1-[tert-butyl(dimethyl)silyl]oxy-2-methyl-3-(5-oxaspiro[2.2]pentan-4-yl)propyl]-30-ethyl-6,9,18,24-tetraisobutyl-3,21-diisopropyl-1,4,7,10,12,15,19,25,28-nonamethyl-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone","STRING-db4932.YKL002W","9.1087"
"vma22 (saccharomyces cerevisiae s288c)","affects","(3s,6s,9s,12r,15s,18s,21s,24s,30s,33s)-30-ethyl-33-[(1r,2r)-1-hydroxy-2-methyl-4,5-heptadien-1-yl]-6,9,18,24-tetraisobutyl-3,21-diisopropyl-1,4,7,10,12,15,19,25,28-nonamethyl-1,4,7,10,13,16,19,22,25,28,31-undecaazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone","S000131109|YCR020C-A|arsenite(3-) (0.75 - 1.0 mM)","9.7511"
"vma22 (saccharomyces cerevisiae s288c)","affects","(12r)-30-ethyl-33-[(1r,2r,4e)-1-hydroxy-2-methylhex-4-en-1-yl]-6,9,18,24-tetraisobutyl-3,21-diisopropyl-1,4,7,10,12,15,19,25,28-nonamethyl-1,4,7,10,13,16,19,22,25,28,31-undecaazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone","S000081913|YGR035C|N(6)-hydroxyadenine (25 ug/ml)","9.4185"
"vma22 (saccharomyces cerevisiae s288c)","affects","(3s,6s,9s,12r,15s,18s,21s,24s,30s,33s)-30-ethyl-33-[(1r,2r)-1-hydroxy-2-methyl-3-(2-methylcyclopropyl)propyl]-6,9,18,24-tetraisobutyl-3,21-diisopropyl-1,4,7,10,12,15,19,25,28-nonamethyl-1,4,7,10,13,16,19,22,25,28,31-undecaazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone","STRING-db4932.YKL002W","9.5272"
"vma22 (saccharomyces cerevisiae s288c)","binds with","(3s,6s,9s,12r,15s,18s,21s,24s,30s,33s)-33-[(1r,2r)-1-[tert-butyl(dimethyl)silyl]oxy-2-methyl-3-(5-oxaspiro[2.2]pentan-4-yl)propyl]-30-ethyl-6,9,18,24-tetraisobutyl-3,21-diisopropyl-1,4,7,10,12,15,19,25,28-nonamethyl-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone","S000050984|YBL019W|methyl methanesulfonate (series: 0-0.6% for 20 min)","9.1087"
"vma22 (saccharomyces cerevisiae s288c)","binds with","(3s,6s,9s,12r,15s,18s,21s,24s,30s,33s)-30-ethyl-33-[(1r,2r)-1-hydroxy-2-methyl-4,5-heptadien-1-yl]-6,9,18,24-tetraisobutyl-3,21-diisopropyl-1,4,7,10,12,15,19,25,28-nonamethyl-1,4,7,10,13,16,19,22,25,28,31-undecaazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone","S000120070|YER084W|nickel(2+)","9.7511"
"vma22 (saccharomyces cerevisiae s288c)","binds with","(3s,6s,9s,12r,15s,18s,21s,24s,30s,33s)-33-[(2r,3r)-5-acetyl-3-methyl-tetrahydrofuran-2-yl]-30-ethyl-6,9,18,24-tetraisobutyl-3,21-diisopropyl-1,4,7,10,12,15,19,25,28-nonamethyl-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone","S000146585|YCR020C-A|L-canavanine (5 ug/ml)","8.9311"
"vma22 (saccharomyces cerevisiae s288c)","binds with","(3s,6s,9s,12r,15s,18s,21s,24s,30s,33s)-30-ethyl-33-[(1r,2r)-1-hydroxy-2-methyl-3-(2-methylcyclopropyl)propyl]-6,9,18,24-tetraisobutyl-3,21-diisopropyl-1,4,7,10,12,15,19,25,28-nonamethyl-1,4,7,10,13,16,19,22,25,28,31-undecaazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone","S000114261|YBL019W|sirolimus (1.3 nM)","9.5272"
"vma22 (saccharomyces cerevisiae s288c)","binds with","(3s,6s,9s,12r,15s,18s,21s,24s,30s,33s)-30-ethyl-33-[(1r,3r,4r,6r)-1-hydroxy-4-methyl-2-oxabicyclo[4.2.0]oct-3-yl]-6,9,18,24-tetraisobutyl-3,21-diisopropyl-1,4,7,10,12,15,19,25,28-nonamethyl-1,4,7,10,13,16,19,22,25,28,31-undecaazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone","S000155945|YLR108C|toxaphene (640 uM)","9.159"
"vma22 (saccharomyces cerevisiae s288c)","gene product variant increases","fyv4 (saccharomyces cerevisiae s288c)","S000135573|YLR108C|neomycin (5.5 mg/ml)","9.6545"
"vma22 (saccharomyces cerevisiae s288c)","gene product variant increases","vtc3 (saccharomyces cerevisiae s288c)","STRING-db4932.YDR063W","10.198"
"vma22 (saccharomyces cerevisiae s288c)","gene product variant increases","(3s,6s,9s,12r,15s,18s,21s,24s,30s,33s)-33-[(2r,3r)-5-acetyl-3-methyl-tetrahydrofuran-2-yl]-30-ethyl-6,9,18,24-tetraisobutyl-3,21-diisopropyl-1,4,7,10,12,15,19,25,28-nonamethyl-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone","STRING-db4932.YKL002W","8.9311"
"vma22 (saccharomyces cerevisiae s288c)","gene product variant decreases","rpp1 (saccharomyces cerevisiae s288c)","NA","9.7107"
"vma22 (saccharomyces cerevisiae s288c)","gene product variant decreases","(12r)-30-ethyl-33-[(1r,2r,4e)-1-hydroxy-2-methylhex-4-en-1-yl]-6,9,18,24-tetraisobutyl-3,21-diisopropyl-1,4,7,10,12,15,19,25,28-nonamethyl-1,4,7,10,13,16,19,22,25,28,31-undecaazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone","S000128338|YBL019W|St. John's Wort extract","9.4185"
"gnd1 (saccharomyces cerevisiae s288c)","is adjacent to","yhr182w (saccharomyces cerevisiae s288c)","STRING-db4932.YNL048W","9.4842"
"gnd1 (saccharomyces cerevisiae s288c)","is adjacent to","pfs1 (saccharomyces cerevisiae s288c)","STRING-db4932.YGL065C","10.3027"
"gnd1 (saccharomyces cerevisiae s288c)","is adjacent to","ssp1 (saccharomyces cerevisiae s288c)","S000057525|YGL065C|hygromycin B (50 ug/ml)","10.3545"
"gnd1 (saccharomyces cerevisiae s288c)","binds with","svp26 (saccharomyces cerevisiae s288c)","S000147087|YBR110W|methyl methanesulfonate","8.5072"
"gnd1 (saccharomyces cerevisiae s288c)","binds with","cpr4 (saccharomyces cerevisiae s288c)","S000155100|YFR015C|miconazole (1000 ug/ml)","9.6393"
"gnd1 (saccharomyces cerevisiae s288c)","binds with","gnd2 (saccharomyces cerevisiae s288c)","S000114261|YLR258W|sirolimus (1.3 nM)","9.8136"
"gnd1 (saccharomyces cerevisiae s288c)","gene product variant increases","aro9 (saccharomyces cerevisiae s288c)","STRING-db4932.YFR015C","9.2871"
"gnd1 (saccharomyces cerevisiae s288c)","gene product variant increases","hnt1 (saccharomyces cerevisiae s288c)","STRING-db4932.YBR110W","10.4498"
"gnd1 (saccharomyces cerevisiae s288c)","gene product variant increases","lead(2+)","S000132355|YNL048W|Calcofluor White (5 ug/ml)","9.9637"
"gnd1 (saccharomyces cerevisiae s288c)","gene product variant decreases","cpr8 (saccharomyces cerevisiae s288c)","STRING-db4932.YLR258W","9.6709"
"thp2 (saccharomyces cerevisiae s288c)","is functionally related to","irc10 (saccharomyces cerevisiae s288c)","S000082079|YBR097W|cyclosporin A (150 ug/ml)","10.9717"
"thp2 (saccharomyces cerevisiae s288c)","affects","elf1 (saccharomyces cerevisiae s288c)","S000156575|YLR360W|hydrogen chloride","9.9854"
"thp2 (saccharomyces cerevisiae s288c)","binds with","yra2 (saccharomyces cerevisiae s288c)","S000082079|YBR097W|cyclosporin A (150 ug/ml)","11.6561"
"thp2 (saccharomyces cerevisiae s288c)","binds with","use1 (saccharomyces cerevisiae s288c)","S000146585|YBL054W|L-canavanine (5 ug/ml)","9.53"
"thp2 (saccharomyces cerevisiae s288c)","binds with","(1ar,2z,4e,14r,15as)-8-chloro-9,11-dihydroxy-14-methyl-1a,14,15,15a-tetrahydro-6h-oxireno[e][2]benzoxacyclotetradecine-6,12(7h)-dione","S000082079|YBR097W|cyclosporin A (150 ug/ml)","9.0908"
"thp2 (saccharomyces cerevisiae s288c)","gene product variant increases","yhr127w (saccharomyces cerevisiae s288c)","S000082079|YBR097W|cyclosporin A (150 ug/ml)","8.6825"
"thp2 (saccharomyces cerevisiae s288c)","gene product variant decreases","ynl140c (saccharomyces cerevisiae s288c)","S000082079|YBR097W|cyclosporin A (150 ug/ml)","10.1981"
"thp2 (saccharomyces cerevisiae s288c)","gene product variant decreases","hrb1 (saccharomyces cerevisiae s288c)","S000182615|YBL054W|carboplatin (10 mM)","9.7651"
"thp2 (saccharomyces cerevisiae s288c)","gene product variant decreases","tex1 (saccharomyces cerevisiae s288c)","STRING-db4932.YBR097W","8.8797"
"thp2 (saccharomyces cerevisiae s288c)","gene product variant does not result in abnormal","ola1 (saccharomyces cerevisiae s288c)","STRING-db4932.YBR097W","9.9205"
"fyv4 (saccharomyces cerevisiae s288c)","is adjacent to","resistance to chemicals","20691087","9.761"
"mpc2 (saccharomyces cerevisiae s288c)","gene product variant decreases","resistance to chemicals","S000153040|YLR093C|dieldrin (460 uM)","9.8562"
"yck1 (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","S000153037|YHR181W|edelfosine (60 uM)","9.7415"
"ncp1 (saccharomyces cerevisiae s288c)","gene product variant decreases","resistance to chemicals","NA","9.9843"
"yhr033w (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","S000147087|YKL095W|methyl methanesulfonate","9.279"
"yhr033w (saccharomyces cerevisiae s288c)","gene product variant increases","resistance to chemicals","25042801","9.279"
"pmd1 (saccharomyces cerevisiae s288c)","affects","resistance to chemicals","S000181479|YKR030W|myriocin (1 uM)","9.5246"
"pmd1 (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","21193549","9.5246"
"anp1 (saccharomyces cerevisiae s288c)","is functionally related to","ycr043c (saccharomyces cerevisiae s288c)","NA","8.9934"
"anp1 (saccharomyces cerevisiae s288c)","is functionally related to","gpi18 (saccharomyces cerevisiae s288c)","S000138697|YLR211C|4-chlorophenol (1 mM)","9.9602"
"anp1 (saccharomyces cerevisiae s288c)","binds with","mnn1 (saccharomyces cerevisiae s288c)","S000077020|YLR211C|sorbate (5 mM)","10.0277"
"anp1 (saccharomyces cerevisiae s288c)","binds with","pmt5 (saccharomyces cerevisiae s288c)","STRING-db4932.YLR240W","9.8263"
"anp1 (saccharomyces cerevisiae s288c)","binds with","sec62 (saccharomyces cerevisiae s288c)","S000117007|YLR241W|acrolein (5 mM)","9.4064"
"anp1 (saccharomyces cerevisiae s288c)","binds with","ptm1 (saccharomyces cerevisiae s288c)","STRING-db4932.YLR240W","9.6467"
"anp1 (saccharomyces cerevisiae s288c)","gene product variant increases","pmt3 (saccharomyces cerevisiae s288c)","S000154649|YBR270C|FTase Inhibitor I (10 uM)","10.1881"
"anp1 (saccharomyces cerevisiae s288c)","gene product variant decreases","utr5 (saccharomyces cerevisiae s288c)","S000156575|YPL084W|concanamycin A","9.4497"
"anp1 (saccharomyces cerevisiae s288c)","gene product variant decreases","pmt4 (saccharomyces cerevisiae s288c)","S000155945|YLR241W|toxaphene (640 uM)","9.7893"
"anp1 (saccharomyces cerevisiae s288c)","gene product variant decreases","pga1 (saccharomyces cerevisiae s288c)","S000150086|YLR240W|selenium(2+) (0.05 mM disodium selenite)","10.1345"
"ctf8 (saccharomyces cerevisiae s288c)","gene product variant increases","resistance to chemicals","STRING-db4932.YBL057C","9.5982"
"aim10 (saccharomyces cerevisiae s288c)","gene product variant increases","resistance to chemicals","NA","9.761"
"yer152c (saccharomyces cerevisiae s288c)","is adjacent to","resistance to chemicals","STRING-db4932.YBR173C","9.5235"
"yer152c (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","S000153189|YOL032W|butan-1-ol (1%)","9.5235"
"ydr524c-b (saccharomyces cerevisiae s288c)","is functionally related to","resistance to chemicals","S000121776|YGR020C|pyocyanin (100 ug/ml)","9.2997"
"ydr524c-b (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","STRING-db4932.YJL065C","9.6177"
"ypr147c (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","S000135573|YGR129W|amitrole (22 mg/ml)","9.8599"
"ypr147c (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","STRING-db4932.YNL086W","9.8599"
"smf2 (saccharomyces cerevisiae s288c)","gene product variant increases","resistance to chemicals","STRING-db4932.YML062C","8.7692"
"brl1 (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","STRING-db4932.YDL110C","9.2514"
"brl1 (saccharomyces cerevisiae s288c)","gene product variant decreases","resistance to chemicals","STRING-db4932.YPR101W","9.2514"
"ser3 (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","STRING-db4932.YJL057C","9.763"
"ser3 (saccharomyces cerevisiae s288c)","gene product variant increases","resistance to chemicals","S000152383|YBR115C|cycloheximide (100 ng/ml)","9.6032"
"ser3 (saccharomyces cerevisiae s288c)","gene product variant increases","resistance to chemicals","STRING-db4932.YPL002C","9.6032"
"cog3 (saccharomyces cerevisiae s288c)","gene product variant decreases","resistance to chemicals","STRING-db4932.YOR321W","9.9783"
"emp65 (saccharomyces cerevisiae s288c)","affects","resistance to chemicals","NA","10.1354"
"sdd1 (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","23915247","10.1354"
"sdd1 (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","STRING-db4932.YLR315W","10.1354"
"yer084w (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","S000121776|YOL070C|pyocyanin (75 ug/ml)","9.7828"
"yer084w (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","STRING-db4932.YLR315W","9.2997"
"yer084w (saccharomyces cerevisiae s288c)","gene product variant increases","resistance to chemicals","24360837","9.7828"
"yer084w (saccharomyces cerevisiae s288c)","gene product variant decreases","resistance to chemicals","S000059338|YER151C|L-canavanine sulfate (1 ug/ml)","9.2997"
"erc1 (saccharomyces cerevisiae s288c)","is functionally related to","resistance to chemicals","S000142378|YGL174W|camptothecin (43 uM)","9.667"
"erc1 (saccharomyces cerevisiae s288c)","gene product variant decreases","resistance to chemicals","23335509","9.667"
"pih1 (saccharomyces cerevisiae s288c)","is adjacent to","brl1 (saccharomyces cerevisiae s288c)","24968945","9.2229"
"pih1 (saccharomyces cerevisiae s288c)","is adjacent to","csc1 (saccharomyces cerevisiae s288c)","STRING-db4932.YGL174W","9.1405"
"pih1 (saccharomyces cerevisiae s288c)","affects","csc1 (saccharomyces cerevisiae s288c)","STRING-db4932.YOL117W","9.1405"
"pih1 (saccharomyces cerevisiae s288c)","affects","tel2 (saccharomyces cerevisiae s288c)","21179023","9.7002"
"pih1 (saccharomyces cerevisiae s288c)","binds with","yhr033w (saccharomyces cerevisiae s288c)","S000176525|YDL110C|tunicamycin (1 ug/ml)","9.279"
"pih1 (saccharomyces cerevisiae s288c)","binds with","erc1 (saccharomyces cerevisiae s288c)","S000153037|YOL117W|edelfosine (60 uM)","9.6441"
"pih1 (saccharomyces cerevisiae s288c)","binds with","nel1 (saccharomyces cerevisiae s288c)","21978764","9.3316"
"pih1 (saccharomyces cerevisiae s288c)","binds with","cwc24 (saccharomyces cerevisiae s288c)","S000156575|YCL008C|mutalomycin sodium salt","9.8494"
"pih1 (saccharomyces cerevisiae s288c)","binds with","lsm8 (saccharomyces cerevisiae s288c)","23390603","9.4728"
"pih1 (saccharomyces cerevisiae s288c)","binds with","tel2 (saccharomyces cerevisiae s288c)","S000156575|YCL008C|21-deoxyconcanamycin A","9.7002"
"pih1 (saccharomyces cerevisiae s288c)","binds with","rsa1 (saccharomyces cerevisiae s288c)","STRING-db4932.YDR163W","9.7528"
"pih1 (saccharomyces cerevisiae s288c)","binds with","rcl1 (saccharomyces cerevisiae s288c)","S000156575|YCL008C|cladoniamide derivative","9.4051"
"pih1 (saccharomyces cerevisiae s288c)","gene product variant increases","yhr033w (saccharomyces cerevisiae s288c)","STRING-db4932.YKL095W","9.279"
"pih1 (saccharomyces cerevisiae s288c)","gene product variant increases","brl1 (saccharomyces cerevisiae s288c)","STRING-db4932.YCL008C","9.2229"
"pih1 (saccharomyces cerevisiae s288c)","gene product variant increases","erc1 (saccharomyces cerevisiae s288c)","26341223","9.6441"
"pih1 (saccharomyces cerevisiae s288c)","gene product variant increases","rsa1 (saccharomyces cerevisiae s288c)","S000156575|YCL008C|radicicol","9.7528"
"pih1 (saccharomyces cerevisiae s288c)","gene product variant decreases","nel1 (saccharomyces cerevisiae s288c)","S000125500|YDL110C|phleomycin (1 ug/ml)","9.3316"
"pih1 (saccharomyces cerevisiae s288c)","gene product variant decreases","cwc24 (saccharomyces cerevisiae s288c)","16738548","9.8494"
"pih1 (saccharomyces cerevisiae s288c)","gene product variant decreases","lsm8 (saccharomyces cerevisiae s288c)","STRING-db4932.YCL008C","9.4728"
"pih1 (saccharomyces cerevisiae s288c)","gene product variant does not result in abnormal","rcl1 (saccharomyces cerevisiae s288c)","STRING-db4932.YPR082C","9.4051"
"nca2 (saccharomyces cerevisiae s288c)","is adjacent to","resistance to chemicals","21179023","9.7144"
"yhr182w (saccharomyces cerevisiae s288c)","gene product variant decreases","resistance to chemicals","STRING-db4932.YPL084W","9.6596"
"rrg8 (saccharomyces cerevisiae s288c)","affects","resistance to chemicals","S000082079|YLR240W|cyclosporin A (150 ug/ml)","9.3862"
"yer156c (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","24260565","9.7907"
"pfs1 (saccharomyces cerevisiae s288c)","gene product variant decreases","resistance to chemicals","STRING-db4932.YPL084W","10.3115"
"nel1 (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","18245329","9.3813"
"nel1 (saccharomyces cerevisiae s288c)","gene product variant decreases","resistance to chemicals","NA","9.7702"
"nel1 (saccharomyces cerevisiae s288c)","gene product variant decreases","resistance to chemicals","STRING-db4932.YPR101W","9.3813"
"ssp1 (saccharomyces cerevisiae s288c)","is adjacent to","resistance to chemicals","7877969","10.4035"
"yhr127w (saccharomyces cerevisiae s288c)","gene product variant decreases","resistance to chemicals","S000082079|YLR240W|cyclosporin A (150 ug/ml)","8.8039"
"arg4 (saccharomyces cerevisiae s288c)","is functionally related to","resistance to chemicals","21978764","9.4551"
"aro9 (saccharomyces cerevisiae s288c)","gene product variant decreases","resistance to chemicals","STRING-db4932.YPL084W","9.4481"
"gic1 (saccharomyces cerevisiae s288c)","gene product variant decreases","resistance to chemicals","S000156575|YDR495C|cladoniamide derivative","9.8949"
"ubp3 (saccharomyces cerevisiae s288c)","is adjacent to","yer152c (saccharomyces cerevisiae s288c)","STRING-db4932.YLR199C","9.4269"
"ubp3 (saccharomyces cerevisiae s288c)","is adjacent to","ubx6 (saccharomyces cerevisiae s288c)","STRING-db4932.YLR021W","8.9586"
"ubp3 (saccharomyces cerevisiae s288c)","is adjacent to","asp1 (saccharomyces cerevisiae s288c)","S000147087|YDR341C|methyl methanesulfonate","9.6302"
"ubp3 (saccharomyces cerevisiae s288c)","is functionally related to","pomecin a","S000138697|YLR199C|4-chlorophenol (1 mM)","9.8604"
"ubp3 (saccharomyces cerevisiae s288c)","is functionally related to","pomecin a","STRING-db4932.YHR018C","9.8604"
"ubp3 (saccharomyces cerevisiae s288c)","is functionally related to","cladoniamide derivative","17164236","9.9853"
"ubp3 (saccharomyces cerevisiae s288c)","binds with","tavaborole","NA","8.8426"
"ubp3 (saccharomyces cerevisiae s288c)","binds with","zeo1 (saccharomyces cerevisiae s288c)","16380504","9.4651"
"ubp3 (saccharomyces cerevisiae s288c)","binds with","esl2 (saccharomyces cerevisiae s288c)","STRING-db4932.YBR173C","9.5424"
"ubp3 (saccharomyces cerevisiae s288c)","binds with","phleomycin","23552365","9.6105"
"ubp3 (saccharomyces cerevisiae s288c)","binds with","cladoniamide derivative","S000123910|YLR199C|L-canavanine (1-2 ug/ml)","9.9853"
"ubp3 (saccharomyces cerevisiae s288c)","gene product variant increases","ubx6 (saccharomyces cerevisiae s288c)","24260565","8.9586"
"ubp3 (saccharomyces cerevisiae s288c)","gene product variant increases","zeo1 (saccharomyces cerevisiae s288c)","17707236","9.4651"
"ubp3 (saccharomyces cerevisiae s288c)","gene product variant increases","o-carbamimidamido-l-homoserine sulfate (1:1)","22253786","9.1939"
"ubp3 (saccharomyces cerevisiae s288c)","gene product variant increases","phleomycin","S000123910|YLR199C|4-nitroquinoline N-oxide (0.4 ug/ml)","9.6105"
"ubp3 (saccharomyces cerevisiae s288c)","gene product variant decreases","tavaborole","S000074621|YPL165C|alverine citrate (500 uM)","8.8426"
"ubp3 (saccharomyces cerevisiae s288c)","gene product variant decreases","asp1 (saccharomyces cerevisiae s288c)","S000153037|YGL004C|edelfosine (60 uM)","9.6302"
"ubp3 (saccharomyces cerevisiae s288c)","gene product variant decreases","esl2 (saccharomyces cerevisiae s288c)","STRING-db4932.YDR341C","9.5424"
"ubp3 (saccharomyces cerevisiae s288c)","gene product variant decreases","o-carbamimidamido-l-homoserine sulfate (1:1)","23416056","9.1939"
"ubp3 (saccharomyces cerevisiae s288c)","gene product variant does not result in abnormal","yer152c (saccharomyces cerevisiae s288c)","NA","9.4269"
"dog1 (saccharomyces cerevisiae s288c)","binds with","ncp1 (saccharomyces cerevisiae s288c)","16738548","9.9574"
"dog1 (saccharomyces cerevisiae s288c)","binds with","dog2 (saccharomyces cerevisiae s288c)","STRING-db4932.YKL160W","9.4332"
"dog1 (saccharomyces cerevisiae s288c)","binds with","inm1 (saccharomyces cerevisiae s288c)","21179023","9.6944"
"dog1 (saccharomyces cerevisiae s288c)","binds with","nit3 (saccharomyces cerevisiae s288c)","19129474","9.2839"
"dog1 (saccharomyces cerevisiae s288c)","binds with","ydr286c (saccharomyces cerevisiae s288c)","NA","10.1077"
"dog1 (saccharomyces cerevisiae s288c)","binds with","spr3 (saccharomyces cerevisiae s288c)","STRING-db4932.YNL140C","9.7052"
"dog1 (saccharomyces cerevisiae s288c)","gene product variant increases","nta1 (saccharomyces cerevisiae s288c)","16729036","9.5605"
"dog1 (saccharomyces cerevisiae s288c)","gene product variant increases","cia1 (saccharomyces cerevisiae s288c)","S000156575|YBL047C|radicicol","9.5114"
"dog1 (saccharomyces cerevisiae s288c)","gene product variant decreases","yhr045w (saccharomyces cerevisiae s288c)","STRING-db4932.YBR025C","8.9042"
"dog1 (saccharomyces cerevisiae s288c)","gene product variant decreases","elp2 (saccharomyces cerevisiae s288c)","24260565","9.8246"
"dog2 (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","S000116016|YKL160W|calcium dichloride (0.7 M)","9.5338"
"msr1 (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","19684113","9.9631"
"mnn1 (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","15334557","10.0358"
"dpm1 (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","S000081669|YNL288W|wortmannin","9.7368"
"utr5 (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","S000156575|YDR495C|concanamycin A","9.4653"
"yhr045w (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","S000128878|YBR025C|L-1,4-dithiothreitol (20 mM)","9.2839"
"dse1 (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","STRING-db4932.YHR167W","9.0831"
"msc7 (saccharomyces cerevisiae s288c)","is functionally related to","resistance to chemicals","STRING-db4932.YBR173C","9.782"
"msc7 (saccharomyces cerevisiae s288c)","gene product variant increases","resistance to chemicals","STRING-db4932.YOL033W","9.782"
"dbf20 (saccharomyces cerevisiae s288c)","is adjacent to","resistance to chemicals","S000057525|YER001W|hygromycin B (50 ug/ml)","9.6032"
"svp26 (saccharomyces cerevisiae s288c)","binds with","resistance to chemicals","21978764","8.8853"
"get2 (saccharomyces cerevisiae s288c)","is adjacent to","get1 (saccharomyces cerevisiae s288c)","S000148149|YPL002C|neothyonidioside (10 uM)","9.5571"
"get2 (saccharomyces cerevisiae s288c)","is adjacent to","oxaliplatin","STRING-db4932.YOL070C","8.9869"
"get2 (saccharomyces cerevisiae s288c)","is functionally related to","pdr10 (saccharomyces cerevisiae s288c)","S000148149|YPL002C|neothyonidioside (10 uM)","9.3433"
