"","Feature_Name","Feature_Type","Gene_name","SGD_ID","Reference","Experiment_type","Mutant_type","Allele","Strain","Phenotype","Chemical","Condition","Details","Reporter"
"7084","YBR097W","ORF","VPS15","S000000301","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"7768","YBR122C","ORF","MRPL36","S000000326","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"8192","YBR132C","ORF","AGP2","S000000336","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"9179","YBR173C","ORF","UMP1","S000000377","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"12351","YCL008C","ORF","STP22","S000000514","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"13225","YCL058C","ORF","FYV5","S000000563","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"13470","YCR002C","ORF","CDC10","S000000595","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"13965","YCR020W-B","ORF","HTL1","S000006439","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"19895","YDL133C-A","ORF","RPL41B","S000002293","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"20482","YDL160C","ORF","DHH1","S000002319","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"22995","YDR028C","ORF","REG1","S000002435","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"25548","YDR138W","ORF","HPR1","S000002545","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"26038","YDR157W","ORF","","S000002564","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"26061","YDR158W","ORF","HOM2","S000002565","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"28009","YDR234W","ORF","LYS4","S000002642","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"36282","YEL031W","ORF","SPF1","S000000757","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"36457","YEL036C","ORF","ANP1","S000000762","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"38817","YER060W-A","ORF","FCY22","S000002958","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"39116","YER074W","ORF","RPS24A","S000000876","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"39297","YER083C","ORF","GET2","S000000885","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"39996","YER111C","ORF","SWI4","S000000913","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"40902","YER151C","ORF","UBP3","S000000953","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"44915","YGL020C","ORF","GET1","S000002988","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"45359","YGL038C","ORF","OCH1","S000003006","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"45428","YGL042C","ORF","","S000003010","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"46329","YGL072C","ORF","","S000003040","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"46553","YGL080W","ORF","MPC1","S000003048","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"48917","YGL188C-A","ORF","","S000028635","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"49657","YGL219C","ORF","MDM34","S000003187","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"49926","YGL234W","ORF","ADE5,7","S000003203","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"50812","YGR020C","ORF","VMA7","S000003252","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"52651","YGR104C","ORF","SRB5","S000003336","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"53323","YGR135W","ORF","PRE9","S000003367","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"54228","YGR167W","ORF","CLC1","S000003399","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"56615","YGR271C-A","ORF","EFG1","S000007608","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"59382","YHR034C","ORF","PIH1","S000001076","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"59952","YHR060W","ORF","VMA22","S000001102","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"62080","YHR167W","ORF","THP2","S000001210","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"62278","YHR175W-A","ORF","","S000028553","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"62440","YHR183W","ORF","GND1","S000001226","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"64923","YIL076W","ORF","SEC28","S000001338","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"72243","YJL180C","ORF","ATP12","S000003716","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"72372","YJL184W","ORF","GON7","S000003720","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"73833","YJR043C","ORF","POL32","S000003804","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"76485","YKL002W","ORF","DID4","S000001485","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"79033","YKL118W","ORF","","S000001601","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"79681","YKL143W","ORF","LTV1","S000001626","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"80986","YKL211C","ORF","TRP3","S000001694","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"81610","YKR007W","ORF","MEH1","S000001715","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"81958","YKR023W","ORF","","S000001731","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"86717","YLR074C","ORF","BUD20","S000004064","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"87144","YLR091W","ORF","GEP5","S000004081","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"88054","YLR139C","ORF","SLS1","S000004129","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"88765","YLR182W","ORF","SWI6","S000004172","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"89152","YLR200W","ORF","YKE2","S000004190","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"89712","YLR224W","ORF","UCC1","S000004214","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"90215","YLR240W","ORF","VPS34","S000004230","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"90373","YLR244C","ORF","MAP1","S000004234","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"91872","YLR315W","ORF","NKP2","S000004307","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"92144","YLR322W","ORF","VPS65","S000004314","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"92502","YLR337C","ORF","VRP1","S000004329","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"92600","YLR338W","ORF","OPI9","S000004330","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"93340","YLR369W","ORF","SSQ1","S000004361","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"97791","YML062C","ORF","MFT1","S000004527","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"98207","YML081W","ORF","TDA9","S000004546","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"100262","YMR032W","ORF","HOF1","S000004635","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"106967","YMR326C","ORF","","S000004945","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"109544","YNL107W","ORF","YAF9","S000005051","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"110873","YNL171C","ORF","","S000005115","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"111432","YNL198C","ORF","","S000005142","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"111481","YNL199C","ORF","GCR2","S000005143","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"111709","YNL213C","ORF","RRG9","S000005157","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"116342","YNR051C","ORF","BRE5","S000005334","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"117050","YOL009C","ORF","MDM12","S000005369","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"117616","YOL032W","ORF","OPI10","S000005392","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"117635","YOL033W","ORF","MSE1","S000005393","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"118201","YOL059W","ORF","GPD2","S000005420","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"118346","YOL067C","ORF","RTG1","S000005428","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"120065","YOL148C","ORF","SPT20","S000005508","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"121104","YOR035C","ORF","SHE4","S000005561","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"124452","YOR184W","ORF","SER1","S000005710","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"125098","YOR211C","ORF","MGM1","S000005737","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"126606","YOR295W","ORF","UAF30","S000005821","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"126889","YOR305W","ORF","RRG7","S000005832","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
