DrugBankID;Drug;Disease;Palliative;InFDAlabel;RelativeEfficacyRE;GeneID1;GeneID2;GeneID3;GeneID4;GeneID5;GeneID6;GeneID7;GeneID8;GeneID9;GeneID10;GeneID11;GeneID12;GeneID13;GeneID14;GeneID15;GeneID16;GeneID17;GeneID18;GeneID19;GeneID20;GeneID21;GeneID22;GeneID23;GeneID24;GeneID25;IndicationfromDailyMed
DB00136;Calcitriol;bone diseases;0;1;NA;7421; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Calcitriol injection is indicated in the management of hypocalcemia in patients undergoing chronic renal dialysis. It has been shown to significantly reduce elevated parathyroid hormone levels. Reduction of PTH has been shown to result in an improvement in renal osteodystrophy.
DB00146;Calcidiol;bone diseases metabolic;0;0;NA;7421; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
DB00158;Folic Acid;anemia;0;1;NA;2350; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Folic Acid Injection, USP alone is effective in the treatment of megaloblastic anemias due to a deficiency of folic acid as may be seen in tropical or nontropical sprue, in anemias of nutritional origin, pregnancy, infancy or childhood.
DB00162;Vitamin A;malabsorption syndromes;0;0;NA;216;5947;57665;6017;5959;112724;51109;5949;50700;9227;8854;145226;220; ; ; ; ; ; ; ; ; ; ; ; ;AVITA Gel is indicated for topical application in the treatment of acne vulgaris. The safety and efficacy of this product in the treatment of other disorders have not been established.
DB00163;Vitamin E;alzheimer disease;0;0;NA;5579;5578;1606;240;284904;23541;5515;8856;5516; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
DB00165;Pyridoxine;anemia;0;1;NA;8566; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Pyridoxine Hydrochloride Injection is effective for the treatment of pyridoxine deficiency as seen in the following: Inadequate dietary intake. Drug-induced deficiency, as from isoniazid (INH) or oral contraceptives. Inborn errors of metabolism, e.g., vitamin B6 dependent convulsions or vitamin B6 responsive anemia. The parenteral route is indicated when oral administration is not feasible as in anorexia, nausea and vomiting, and preoperative and postoperative conditions. It is also indicated when gastrointestinal absorption is impaired.
DB00169;Cholecalciferol;cardiovascular diseases;0;1;NA;7421; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Nifediac CC extended-release tablets are indicated for the treatment of hypertension. It may be used alone or in combination with other antihypertensive agents.
DB00175;Pravastatin;cardiovascular diseases;0;1;NA;3156; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Therapy with lipid-altering agents should be only one component of multiple risk factor intervention in individuals at significantly increased risk for atherosclerotic vascular disease due to hypercholesterolemia. Drug therapy is indicated as an adjunct to diet when the response to a diet restricted in saturated fat and cholesterol and other nonpharmacologic measures alone has been inadequate. 1.1 Prevention of Cardiovascular Disease In hypercholesterolemic patients without clinically evident coronary heart disease (CHD), Pravastatin Sodium Tablets USP are indicated to: reduce the risk of myocardial infarction (MI).reduce the risk of undergoing myocardial revascularization procedures.reduce the risk of cardiovascular mortality with no increase in death from non-cardiovascular causes. 1.2 Hyperlipidemia Pravastatin Sodium Tablets USP are indicated: as an adjunct to diet to reduce elevated total cholesterol (Total-C), low-density lipoprotein cholesterol (LDL-C), apolipoprotein B (ApoB), and triglyceride (TG) levels and to increase high-density lipoprotein cholesterol (HDL-C) in patients with primary hypercholesterolemia and mixed dyslipidemia (Fredrickson Types IIa and IIb).1as an adjunct to diet for the treatment of patients with elevated serum TG levels (Fredrickson Type IV).for the treatment of patients with primary dysbetalipoproteinemia (Fredrickson Type III) who do not respond adequately to diet.as an adjunct to diet and lifestyle modification for treatment of heterozygous familial hypercholesterolemia (HeFH) in children and adolescent patients ages 8 years and older if after an adequate trial of diet the following findings are present: a. LDL-C remains  190 mg/dL or b. LDL-C remains  160 mg/dL and:there is a positive family history of premature cardiovascular disease (CVD) ortwo or more other CVD risk factors are present in the patient. 1.3 Limitations of Use Pravastatin Sodium Tablets USP have not been studied in conditions where the major lipoprotein abnormality is elevation of chylomicrons (Fredrickson Types I and V).
DB00181;Baclofen;multiple sclerosis;1;1;0,789799;9568;2550; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Baclofen is useful for the alleviation of signs and symptoms of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity. Patients should have reversible spasticity so that baclofen treatment will aid in restoring residual function. Baclofen may also be of some value in patients with spinal cord injuries and other spinal cord diseases. Baclofen is not indicated in the treatment of skeletal muscle spasm resulting from rheumatic disorders. The efficacy of baclofen in stroke, cerebral palsy, and Parkinson's disease has not been established and, therefore, it is not recommended for these conditions.
DB00184;Nicotine;colitis ulcerative;0;0;NA;1143;1139;1138;1137;1136;1135;1141; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;reduces withdrawal symptoms, including nicotine craving, associated with quitting smoking
DB00190;Carbidopa;parkinson disease;1;1;0;1644; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Carbidopa Tablets are indicated for use with carbidopa-levodopa or with levodopa in the treatment of the symptoms of idiopathic Parkinsons disease (paralysis agitans), postencephalitic parkinsonism, and symptomatic parkinsonism which may follow injury to the nervous system by carbon monoxide intoxication and/or manganese intoxication. Carbidopa is for use with carbidopa-levodopa in patients for whom the dosage of carbidopa-levodopa provides less than adequate daily dosage (usually 70 mg daily) of carbidopa. Carbidopa is for use with levodopa in the occasional patient whose dosage requirement of carbidopa and levodopa necessitates separate titration of each entity. Carbidopa is used with carbidopa-levodopa or with levodopa to permit the administration of lower doses of levodopa with reduced nausea and vomiting, more rapid dosage titration, and with a somewhat smoother response. However, patients with markedly irregular (on-off) responses to levodopa have not been shown to benefit from the addition of carbidopa. Since carbidopa prevents the reversal of levodopa effects caused by pyridoxine, supplemental pyridoxine (vitamin B6), can be given to patients when they are receiving carbidopa and levodopa concomitantly or as carbidopa-levodopa. Although the administration of Carbidopa permits control of parkinsonism and Parkinsons disease with much lower doses of levodopa, there is no conclusive evidence at present that this is beneficial other than in reducing nausea and vomiting, permitting more rapid titration, and providing a somewhat smoother response to levodopa. Certain patients who responded poorly to levodopa alone have improved when carbidopa and levodopa were given concurrently. This was most likely due to decreased peripheral decarboxylation of levodopa rather than to a primary effect of carbidopa on the peripheral nervous system. Carbidopa has not been shown to enhance the intrinsic efficacy of levodopa. In deciding whether to give Carbidopa with carbidopa-levodopa or with levodopa to patients who have nausea and/or vomiting, the physician should be aware that, while many patients may be expected to improve, some may not. Since one cannot predict which patients are likely to improve, this can only be determined by a trial of therapy. It should be further noted that in controlled trials comparing carbidopa and levodopa with levodopa alone, about half the patients with nausea and/or vomiting on levodopa alone improved spontaneously despite being retained on the same dose of levodopa during the controlled portion of the trial.
DB00204;Dofetilide;arrhythmias cardiac;0;1;0,294118;3768;3757; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;TIKOSYN is indicated for the maintenance of normal sinus rhythm (delay in time to recurrence of atrial fibrillation/atrial flutter [AF/AFl]) in patients with atrial fibrillation/atrial flutter of greater than one week duration who have been converted to normal sinus rhythm. Because TIKOSYN can cause life threatening ventricular arrhythmias, it should be reserved for patients in whom atrial fibrillation/atrial flutter is highly symptomatic. In general, antiarrhythmic therapy for atrial fibrillation/atrial flutter aims to prolong the time in normal sinus rhythm. Recurrence is expected in some patients (see CLINICAL STUDIES). TIKOSYN is indicated for the conversion of atrial fibrillation and atrial flutter to normal sinus rhythm. TIKOSYN has not been shown to be effective in patients with paroxysmal atrial fibrillation.
DB00214;Torasemide;liver cirrhosis;0;0;NA;6557; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Torsemide tablet is indicated for the treatment of edema associated with congestive heart failure, renal disease, or hepatic disease. Use of torsemide has been found to be effective for the treatment of edema associated with chronic renal failure. Chronic use of any diuretic in hepatic disease has not been studied in adequate and well-controlled trials. Torsemide tablets are indicated for the treatment of hypertension alone or in combination with other antihypertensive agents.
DB00215;Citalopram;dementia;0;0;0,851852;3269;1128;6532;148; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Citalopram HBr, USP is indicated for the treatment of depression. The efficacy of Citalopram tablets, USP in the treatment of depression was established in 4-6 week, controlled trials of outpatients whose diagnosis corresponded most closely to the DSM-lll and DSM-lll-R category of major depressive disorder (see ). CLINICAL PHARMACOLOGY A major depressive episode (DSM-IV) implies a prominent and relatively persistent (nearly every day for at least 2 weeks) depressed or dysphoric mood that usually interferes with daily functioning, and includes at least five of the following nine symptoms: depressed mood, loss of interest in usual activities, significant change in weight and/or appetite, insomnia or hypersomnia, psychomotor agitation or retardation, increased fatigue, feelings of guilt or worthlessness, slowed thinking or impaired concentration, a suicide attempt or suicidal ideation. The antidepressant action of Citalopram tablets, USP in hospitalized depressed patients has not been adequately studied. The efficacy of Citalopram tablets, USP in maintaining an antidepressant response for up to 24 weeks following 6 to 8 weeks of acute treatment was demonstrated in two placebo-controlled trials (see ). Nevertheless, the physician who elects to use Citalopram tablets, USP for extended periods should periodically re-evaluate the long-term usefulness of the drug for the individual patient. CLINICAL PHARMACOLOGY
DB00221;Isoetharine;asthma;0;0;NA;153; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
DB00222;Glimepiride;diabetes mellitus type 2;0;1;0,866197;6833;3758;3767; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Glimepiride is a sulfonylurea indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus (1). Important Limitations of Use: Not for treating type 1 diabetes mellitus or diabetic ketoacidosis (1.1).
DB00227;Lovastatin;cardiovascular diseases;0;1;NA;3683;3066;3156; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"""Therapy with lovastatin tablets USP should be a component of multiple risk factor intervention in those individuals with dyslipidemia at risk for atherosclerotic vascular disease. Lovastatin tablets USP should be used in addition to a diet restricted in saturated fat and cholesterol as part of a treatment strategy to lower total-C and LDL-C to target levels when the response to diet and other nonpharmacological measures alone has been inadequate to reduce risk. Primary Prevention of Coronary Heart Disease In individuals without symptomatic cardiovascular disease, average to moderately elevated total-C and LDL-C and below average HDL-C, lovastatin tablets USP are indicated to reduce the risk of: -Myocardial infarction -Unstable angina -Coronary revascularization procedures (See CLINICAL PHARMACOLOGY, Clinical Studies). Coronary Heart Disease Lovastatin tablets USP are indicated to slow the progression of coronary atherosclerosis in patients with coronary heart disease as part of a treatment strategy to lower total-C and LDL-C to target levels. Hypercholesterolemia Therapy with lipid-altering agents should be a component of multiple risk factor intervention in those individuals at significantly increased risk for atherosclerotic vascular disease due to hypercholesterolemia. Lovastatin tablets USP are indicated as an adjunct to diet for the reduction of elevated total-C and LDL-C levels in patients with primary hypercholesterolemia (Types IIa and IIb2), when the response to diet restricted in saturated fat and cholesterol and to other nonpharmacological measures alone has been inadequate. IDL = intermediate-density lipoprotein. Adolescent Patients with Heterozygous Familial Hypercholesterolemia Lovastatin tablets USP are indicated as an adjunct to diet to reduce total-C, LDL-C and apolipoprotein B levels in adolescent boys and girls who are at least one year post-menarche, 10 to 17 years of age, with heFH if after an adequate trial of diet therapy the following findings are present: 1. LDL-C remains >189 mg/dL or 2. LDL-C remains >160 mg/dL and: there is a positive family history of premature cardiovascular disease or two or more other CVD risk factors are present in the adolescent patient General Recommendations Prior to initiating therapy with lovastatin, secondary causes for hypercholesterolemia (e.g., poorly controlled diabetes mellitus, hypothyroidism, nephrotic syndrome, dysproteinemias, obstructive liver disease, other drug therapy, alcoholism) should be excluded, and a lipid profile performed to measure total-C, HDL-C, and TG. For patients with TG less than 400 mg/dL (<4.5 mmol/L), LDL-C can be estimated using the following equation: LDL-C = total-C  [0.2  (TG) + HDL-C] For TG levels >400 mg/dL (>4.5 mmol/L), this equation is less accurate and LDL-C concentrations should be determined by ultracentrifugation. In hypertriglyceridemic patients, LDL-C may be low or normal despite elevated total-C. In such cases, lovastatin tablets USP are not indicated. The National Cholesterol Education Program (NCEP) Treatment Guidelines are summarized below: CHD, coronary heart disease Some authorities recommend use of LDL-lowering drugs in this category if an LDL-C level of <100 mg/dL cannot be achieved by therapeutic lifestyle changes. Others prefer use of drugs that primarily modify triglycerides and HDL-C, e.g., nicotinic acid or fibrate. Clinical judgment also may call for deferring drug therapy in this subcategory. Almost all people with 0 to 1 risk factor have a 10-year risk <10%"
DB00230;Pregabalin;epilepsy;0;1;0,644737;773; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;LYRICA is indicated for: Management of neuropathic pain associated with diabetic peripheral neuropathy Management of postherpetic neuralgia Adjunctive therapy for adult patients with partial onset seizures Management of fibromyalgia Management of neuropathic pain associated with spinal cord injury
DB00242;Cladribine;lymphoma;0;0;0,9;56655;50484;5427;5426;5422;54107;6240;6241;4860; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Cladribine Injection is indicated for the treatment of active Hairy Cell Leukemia as defined by clinically significant anemia, neutropenia, thrombocytopenia or disease-related symptoms.
DB00244;Mesalazine;colitis;0;1;0,173077;1147;3551;5742;5743;240;5468;4353; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PENTASA is indicated for the induction of remission and for the treatment of patients with mildly to moderately active ulcerative colitis.
DB00245;Benzatropine;parkinson disease;0;1;NA;3269;1128;6531; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;For use as an adjunct in the therapy of all forms of parkinsonism. Useful also in the control of extrapyramidal disorders (except tardive dyskinesia  see PRECAUTIONS) due to neuroleptic drugs (e.g., phenothiazines).
DB00248;Cabergoline;parkinson disease;0;0;NA;151;150;1816;152;1812;1813;3363;1815;3357;1814;3351;3350;3352;3358;3356; ; ; ; ; ; ; ; ; ; ;Cabergoline tablets are indicated for the treatment of hyperprolactinemic disorders, either idiopathic or due to pituitary adenomas.
DB00255;Diethylstilbestrol;breast neoplasms;0;0;NA;2100;2099;2104; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
DB00262;Carmustine;lymphoma;1;1;0,970588;2936; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;BiCNU (carmustine for injection) is indicated as palliative therapy as a single agent or in established combination therapy with other approved chemotherapeutic agents in the following: 1. Brain tumors- glioblastoma, brainstem glioma, medulloblastoma, astrocytoma, ependymoma, and metastatic brain tumors.2. Multiple myeloma-in combination with prednisone.3. Hodgkin's disease-as secondary therapy in combination with other approved drugs in patients who relapse while being treated with primary therapy, or who fail to respond to primary therapy.4. Non-Hodgkin's lymphomas- as secondary therapy in combination with other approved drugs for patients who relapse while being treated with primary therapy, or who fail to respond to primary therapy.
DB00268;Ropinirole;parkinson disease;1;1;0,117647;151;150;1816;152;1812;1813;1815;3357;1814;3351;3350;3352;3358;3356; ; ; ; ; ; ; ; ; ; ; ;"""Ropinirole Tablets USP are indicated for the treatment of the signs and symptoms of idiopathic Parkinsons disease. The effectiveness of ropinirole was demonstrated in randomized, controlled trials in patients with early Parkinsons disease who were not receiving concomitant L-dopa therapy as well as in patients with advanced disease on concomitant L-dopa (see CLINICAL PHARMACOLOGY: Clinical Trials ). Ropinirole Tablets USP are indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome (RLS). Key diagnostic criteria for RLS are: an urge to move the legs usually accompanied or caused by uncomfortable and unpleasant leg sensations"
DB00269;Chlorotrianisene;prostatic neoplasms;0;0;NA;2099; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
DB00273;Topiramate;epilepsy;0;1;0,647059;762;6323;2897;2554;760; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;TROKENDI XR is indicated for: Partial Onset Seizure and Primary Generalized Tonic-Clonic Seizures - initial monotherapy in patients 10 years of age and older with partial onset or primary generalized tonic-clonic seizures and adjunctive therapy in patients 6 years of age and older with partial onset or primary generalized tonic-clonic seizures (1.1) Lennox-Gastaut Syndrome (LGS) - adjunctive therapy in patients 6 years of age and older with seizures associated with Lennox-Gastaut syndrome (1.2)
DB00277;Theophylline;asthma;1;1;0,526316;5139;5142;5141;3066;135;134;8654;136; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Theophylline in 5% Dextrose Injections USP are indicated as an adjunct to inhaled beta-2 selective agonists and systemically administered corticosteroids for the treatment of acute exacerbations of the symptoms and reversible airflow obstruction associated with asthma and other chronic lung diseases, e.g., emphysema and chronic bronchitis.
DB00279;Liothyronine;thyroid diseases;0;1;NA;7067;7068; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"""Thyroid hormone drugs are indicated: 1. As replacement or supplemental therapy in patients with hypothyroidism of any etiology, except transient hypothyroidism during the recovery phase of subacute thyroiditis. This category includes cretinism, myxedema and ordinary hypothyroidism in patients of any age (pediatric patients, adults, the elderly), or state (including pregnancy)"
DB00280;Disopyramide;arrhythmias cardiac;0;1;0,666667;1128;1129;3751;1131;3752;6331; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Disopyramide phosphate capsules are indicated for the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, that, in the judgment of the physician, are life-threatening. Because of the proarrhythmic effects of disopyramide, its use with lesser arrhythmias is generally not recommended. Treatment of patients with asymptomatic ventricular premature contractions should be avoided. Initiation of disopyramide treatment, as with other antiarrhythmic agents used to treat life-threatening arrhythmias, should be carried out in the hospital. Antiarrhythmic drugs have not been shown to enhance survival in patients with ventricular arrhythmias.
DB00281;Lidocaine;arrhythmias cardiac;0;0;0,944444;6336;1956;6331; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Octocaine (Lidocaine and Epinephrine Injection, USP) is indicated for the production of local anesthesia for dental procedures by nerve block or infiltration techniques. Only accepted procedures for these techniques as described in standard textbooks are recommended.
DB00282;Pamidronate;bone diseases;0;1;NA;2224; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Pamidronate disodium, in conjunction with adequate hydration, is indicated for the treatment of moderate or severe hypercalcemia associated with malignancy, with or without bone metastases. Patients who have either epidermoid or non-epidermoid tumors respond to treatment with pamidronate disodium. Vigorous saline hydration, an integral part of hypercalcemia therapy, should be initiated promptly and an attempt should be made to restore the urine output to about 2 L/day throughout treatment. Mild or asymptomatic hypercalcemia may be treated with conservative measures (i.e., saline hydration, with or without loop diuretics). Patients should be hydrated adequately throughout the treatment, but overhydration, especially in those patients who have cardiac failure, must be avoided. Diuretic therapy should not be employed prior to correction of hypovolemia. The safety and efficacy of pamidronate disodium in the treatment of hypercalcemia associated with hyperparathyroidism or with other non-tumor-related conditions has not been established. Pamidronate disodium is indicated for the treatment of patients with moderate to severe Paget's disease of bone. The effectiveness of pamidronate disodium was demonstrated primarily in patients with serum alkaline phosphatase 3 times the upper limit of normal. Pamidronate disodium therapy in patients with Paget's disease has been effective in reducing serum alkaline phosphatase and urinary hydroxyproline levels by 50% in at least 50% of patients, and by 30% in at least 80% of patients. Pamidronate disodium therapy has also been effective in reducing these biochemical markers in patients with Paget's disease who failed to respond, or no longer responded to other treatments. Pamidronate disodium is indicated, in conjunction with standard antineoplastic therapy, for the treatment of osteolytic bone metastases of breast cancer and osteolytic lesions of multiple myeloma. The pamidronate disodium treatment effect appeared to be smaller in the study of breast cancer patients receiving hormonal therapy than in the study of those receiving chemotherapy, however, overall evidence of clinical benefit has been demonstrated (see CLINICAL PHARMACOLOGY, Osteolytic Bone Metastases of Breast Cancer and Osteolytic Lesions of Multiple Myeloma, Clinical Trials).
DB00284;Acarbose;diabetes mellitus;0;1;0,888889;279;8972;2548;6476; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Acarbose tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.
DB00286;Conjugated Estrogens;breast neoplasms;0;0;1;2099; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;PREMARIN (conjugated estrogens) Vaginal Cream is a mixture of estrogens indicated for: Treatment of Atrophic Vaginitis and Kraurosis Vulvae (1.1) Treatment of Moderate to Severe Dyspareunia, a Symptom of Vulvar and Vaginal Atrophy, due to Menopause (1.2)
DB00290;Bleomycin;lymphoma;0;1;1;3978;3980; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Bleomycin for Injection, USP should be considered a palliative treatment. It has been shown to be useful in the management of the following neoplasms either as a single agent or in proven combinations with other approved chemotherapeutic agents: Squamous Cell Carcinoma: Head and neck (including mouth, tongue, tonsil, nasopharynx, oropharynx, sinus, palate, lip, buccal mucosa, gingivae, epiglottis, skin, larynx), penis, cervix, and vulva. The response to Bleomycin for Injection is poorer in patients with previously irradiated head and neck cancer. Lymphomas: Hodgkins disease, non-Hodgkins lymphoma. Testicular Carcinoma: Embryonal cell, choriocarcinoma, and teratocarcinoma. Bleomycin for Injection, USP has also been shown to be useful in the management of: Malignant Pleural Effusion: Bleomycin for Injection is effective as a sclerosing agent for the treatment of malignant pleural effusion and prevention of recurrent pleural effusions.
